Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
finland	-0.021	-0.03	-0.012	-0.012	-0.009	-0.004	-0.006	-0.013	-0.005	-0.015	0.016	-0.01	0.022	-0.007	-0.001	-0.004	-0.005	-0.009	-0.004	-0.004	-0.007	-0.009	-0.013	-0.001	0.003	-0.008	-0.01	0.078	-0.003	0.022	0.075	-0.004	0.145	-0.014	0.004	-0.008	0	-0.004	-0.003	-0.009	-0.008	0.001	-0.012	-0.003	0.037	-0.004	-0.004	0.005	-0.007	-0.011	-0.009	-0.005	-0.011	-0.014	-0.019	-0.005	-0.019	0.002	-0.013	-0.003	0.055	-0.012	0.024	0.024	-0.004	-0.006	-0.004	-0.002	-0.011	-0.003	0.01	-0.001	-0.001	-0.031	-0.014	-0.01	0.008	-0.014	-0.011	0.008	0.029	-0.001	0.003	0.014	-0.014	-0.011	-0.005	-0.006	-0.005	0.005	-0.004	0.012	-0.006	0.01	-0.008	-0.002	0.02	0.077	-0.01	-0.009
veal	-0.045	-0.013	-0.018	-0.01	-0.005	0.007	-0.005	0	-0.014	-0.013	0.001	-0.014	0.007	-0.011	-0.016	-0.007	0.003	-0.013	-0.006	-0.017	0.039	-0.018	-0.01	-0.01	-0.016	0.001	-0.005	0.056	-0.012	0.006	0.032	-0.004	0.008	-0.03	-0.011	0.031	0.001	-0.018	-0.004	-0.014	-0.02	-0.018	-0.017	0.002	-0.01	-0.01	-0.01	-0.006	-0.009	-0.029	-0.011	0.016	0	0.007	0.016	-0.005	0	-0.012	-0.017	-0.005	0.003	-0.028	-0.025	-0.017	0.253	-0.009	0.088	0.041	-0.017	-0.003	-0.004	-0.002	-0.001	-0.04	-0.006	-0.014	0.022	-0.024	-0.02	-0.013	-0.004	-0.002	-0.022	-0.005	-0.01	-0.016	-0.008	0.081	-0.007	-0.003	0.029	-0.007	-0.009	0.112	-0.011	0.011	-0.021	-0.005	-0.01	-0.013
turkey	-0.017	0.007	0.031	-0.007	0.006	-0.006	-0.001	-0.008	0.016	-0.008	0.005	-0.003	0.034	-0.003	-0.005	-0.003	-0.004	-0.005	-0.002	0.018	-0.005	-0.007	-0.009	0	-0.007	-0.005	-0.004	0.006	-0.004	-0.003	-0.017	-0.002	0	0.017	-0.005	0.015	0.021	0.441	-0.002	0.014	0.02	-0.007	-0.003	-0.001	-0.01	-0.004	-0.005	0.047	0.001	-0.011	-0.005	0.007	-0.008	0.007	0	-0.003	0.023	-0.005	0	0.002	0.009	-0.008	-0.006	-0.005	-0.011	-0.003	0.008	-0.004	-0.006	-0.007	0	-0.001	0	-0.012	-0.001	-0.006	-0.003	-0.002	-0.017	-0.003	0.001	-0.001	-0.004	-0.002	0.036	-0.006	-0.003	0.012	0.012	-0.004	-0.002	-0.003	0.03	0.002	0.002	-0.002	-0.005	0.005	-0.006	-0.006
import	0.363	0.378	-0.081	-0.021	0.015	-0.096	-0.001	-0.133	-0.01	-0.095	-0.008	-0.09	-0.041	-0.026	-0.062	-0.033	-0.05	-0.053	-0.023	-0.049	-0.083	-0.05	-0.033	0	-0.083	-0.063	-0.045	-0.063	-0.044	-0.029	-0.151	-0.026	-0.002	-0.039	-0.049	0.01	-0.01	0.03	-0.001	-0.03	-0.044	-0.074	-0.062	-0.011	-0.089	-0.041	-0.056	-0.119	-0.028	-0.115	-0.054	-0.02	-0.069	-0.056	0.147	-0.012	0.043	-0.05	-0.105	-0.031	-0.048	-0.103	-0.145	-0.077	-0.104	-0.039	0.08	-0.052	0.082	-0.061	0.009	-0.009	-0.006	0.59	-0.033	-0.065	-0.069	-0.111	-0.118	-0.041	-0.039	-0.009	-0.022	-0.016	-0.06	-0.072	-0.031	0.019	-0.023	-0.049	-0.021	-0.028	-0.003	-0.131	-0.04	0.029	-0.174	-0.061	-0.053	-0.064
restriction	-0.078	0.027	-0.025	-0.003	0.074	-0.02	0.053	0.003	0.019	-0.008	-0.003	-0.002	0.043	0	0.028	-0.012	-0.004	-0.021	-0.01	0.011	0.001	-0.001	0.101	0.021	0.068	-0.023	0.033	0.018	0.005	-0.009	-0.049	-0.01	0.008	0.004	-0.017	0.02	0.003	-0.01	-0.008	0.021	-0.019	-0.007	0.167	0.009	-0.011	-0.014	-0.016	-0.04	-0.005	-0.03	0.024	-0.012	0.018	-0.004	0.09	0.022	0.004	-0.004	0.075	-0.01	-0.015	-0.031	-0.042	-0.027	-0.014	-0.008	0.074	-0.015	0.047	0.015	-0.012	-0.004	-0.002	-0.029	-0.026	-0.024	0.01	0.005	-0.036	-0.015	-0.014	-0.004	0.04	-0.009	0.007	-0.007	-0.005	0.001	-0.005	-0.016	-0.006	0.01	0	-0.011	0.057	0.031	-0.059	0.007	-0.006	0.14
mollusc	-0.016	-0.029	-0.008	0	-0.006	-0.016	-0.004	0.028	-0.002	-0.012	0.064	-0.003	-0.002	0.003	-0.007	-0.003	-0.007	-0.005	-0.002	0.005	-0.002	-0.003	0.005	0.011	-0.009	0.002	0.01	0.025	-0.005	0.012	-0.019	-0.003	-0.005	0.006	-0.006	-0.005	-0.003	0.035	-0.002	-0.006	-0.008	-0.007	-0.007	-0.002	-0.001	-0.002	-0.006	-0.004	0.005	0.01	-0.005	-0.003	0.013	-0.01	-0.01	-0.003	0.146	-0.005	0.004	-0.004	-0.01	0.005	-0.014	-0.007	-0.015	-0.004	0.062	-0.005	-0.007	-0.006	-0.007	-0.001	-0.001	-0.008	-0.01	-0.006	0.018	0.001	-0.024	-0.003	-0.004	-0.001	0.035	-0.002	-0.01	-0.003	-0.003	0.001	-0.003	-0.008	-0.003	0.004	0.003	-0.003	-0.005	0.01	-0.016	-0.007	-0.006	-0.006
risk	-0.035	-0.054	-0.013	-0.01	-0.007	-0.013	0.007	0.14	-0.01	-0.025	0.004	-0.01	-0.024	0.005	-0.013	-0.006	-0.004	-0.008	-0.001	-0.009	-0.015	0.092	0.013	0	-0.015	-0.008	-0.001	-0.043	-0.004	-0.005	-0.035	-0.005	-0.001	-0.023	-0.01	-0.009	0.01	0.001	-0.003	-0.011	-0.014	-0.009	-0.012	-0.003	-0.004	-0.008	-0.008	0.008	0.043	-0.011	-0.006	-0.006	0.003	0.003	-0.034	-0.004	0.186	0.002	0.094	-0.007	-0.017	-0.016	-0.02	0	-0.028	0	0.043	0.011	-0.013	0.001	-0.02	-0.002	-0.001	-0.036	-0.019	-0.011	-0.01	0.222	-0.046	-0.007	-0.001	-0.002	0.005	-0.004	-0.018	-0.004	-0.005	-0.004	0.01	-0.012	0.013	-0.003	-0.001	-0.014	0.006	-0.003	-0.019	0.059	0.031	-0.013
originating	-0.078	0.191	-0.035	0.042	0.074	-0.023	0.062	-0.006	0.023	-0.019	0.014	-0.036	0.045	-0.007	-0.02	-0.015	-0.011	-0.021	-0.01	0.003	-0.027	-0.008	0.077	0.014	-0.037	-0.027	-0.012	-0.004	-0.016	-0.013	-0.069	-0.009	0.014	0.067	-0.017	-0.007	-0.009	0.093	0.026	0.001	0.013	-0.034	-0.032	-0.006	-0.019	-0.015	-0.027	-0.053	0.007	-0.05	-0.024	-0.003	-0.02	0.003	0.095	-0.005	0.086	-0.021	0.006	-0.009	-0.005	-0.025	-0.065	-0.034	-0.046	-0.014	0.059	-0.002	0.16	-0.015	0.015	-0.004	-0.003	0.005	0.021	-0.027	-0.012	-0.047	-0.076	-0.015	-0.017	-0.004	0.001	-0.007	0.002	-0.033	-0.015	-0.008	-0.004	-0.021	-0.006	-0.01	0.027	-0.061	-0.016	0.099	-0.074	-0.014	-0.019	-0.029
product	-0.011	0.142	-0.076	0.008	0.045	-0.051	0.044	0.136	0.008	0.025	0.007	-0.078	0.025	-0.024	-0.055	-0.029	-0.042	-0.051	-0.008	-0.037	-0.007	-0.011	0.074	0.01	-0.076	-0.052	-0.026	-0.078	-0.027	-0.009	-0.138	-0.021	0.006	0.046	-0.032	-0.018	-0.005	0.024	0.025	-0.021	-0.046	-0.051	-0.064	0.009	-0.034	-0.034	-0.05	-0.065	-0.009	-0.083	-0.03	0.003	-0.051	-0.007	0.162	-0.014	0.148	-0.034	0.068	-0.03	0.031	-0.083	-0.061	-0.069	0.075	-0.029	0.018	0.017	0.046	0.05	0.039	0	-0.005	-0.048	0.003	-0.051	-0.036	0.093	0.065	-0.031	-0.02	-0.002	-0.028	-0.006	0.003	-0.064	-0.024	-0.024	0.001	-0.024	-0.009	-0.018	-0.006	-0.085	-0.039	0.028	-0.133	-0.007	-0.007	-0.019
fishery	-0.076	-0.083	-0.029	0.003	-0.005	-0.014	0.029	-0.017	-0.02	0.06	0.015	-0.023	0.022	0.004	-0.026	-0.012	-0.016	-0.022	-0.005	-0.024	0.047	-0.02	-0.011	-0.001	-0.027	-0.018	-0.02	-0.019	-0.012	0.011	-0.072	0.01	0.062	0.081	-0.022	-0.011	-0.013	-0.014	0.001	-0.023	-0.026	-0.02	-0.028	-0.006	-0.018	-0.016	-0.022	0.001	-0.016	0.256	-0.02	-0.01	0.043	-0.002	-0.039	-0.005	0.086	-0.013	-0.019	-0.014	-0.017	0.621	-0.031	-0.028	-0.061	0	-0.029	-0.018	-0.022	0.006	-0.041	-0.003	-0.002	-0.074	-0.024	-0.016	0.013	-0.038	-0.085	-0.019	-0.014	-0.003	0.02	-0.008	-0.009	-0.02	0.003	-0.009	-0.012	-0.011	-0.011	0.015	-0.012	-0.031	-0.018	-0.01	-0.01	0.056	-0.012	-0.026
