Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
identity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
flower	-0.003	-0.015	-0.004	-0.004	-0.003	0.002	-0.002	0.029	-0.003	-0.005	-0.001	-0.003	0.017	0.016	-0.004	-0.002	-0.003	-0.003	-0.001	-0.004	0.002	-0.004	0.007	-0.004	-0.005	0.001	0.01	0.011	-0.003	-0.002	-0.01	-0.001	-0.002	-0.008	-0.003	-0.003	-0.002	-0.004	-0.001	-0.003	-0.004	-0.004	-0.004	-0.001	0.011	-0.002	-0.003	0.062	-0.002	0.013	-0.003	-0.002	0.006	0.012	0.02	-0.002	-0.009	-0.003	0.002	-0.002	0.004	-0.003	0.008	-0.004	-0.007	-0.002	-0.008	0.001	-0.004	-0.001	-0.008	0	0	-0.012	-0.005	-0.003	-0.004	-0.007	-0.001	-0.003	-0.002	0	-0.006	-0.001	-0.005	-0.004	-0.002	-0.002	-0.002	0.002	-0.001	-0.002	-0.002	-0.006	-0.002	-0.003	0.002	-0.004	-0.003	-0.004
oleaginous	-0.017	-0.017	-0.007	-0.007	-0.005	-0.016	-0.004	0.022	-0.005	-0.01	-0.002	-0.008	0.003	-0.004	-0.006	-0.003	0	-0.005	-0.002	-0.006	0.002	0.001	0.001	-0.004	0.012	-0.006	-0.004	0.015	-0.004	-0.003	-0.016	-0.002	-0.004	-0.012	0.001	0.002	-0.003	-0.007	-0.002	-0.005	-0.007	-0.006	-0.007	-0.001	0.171	-0.004	-0.005	0	-0.004	-0.001	-0.003	-0.003	0.012	0.002	0.059	-0.003	-0.014	-0.004	-0.002	-0.003	0	-0.01	-0.005	-0.007	-0.003	-0.003	-0.014	0.003	-0.006	0.001	-0.012	-0.001	0	-0.02	-0.008	-0.004	-0.002	0.013	-0.003	-0.005	0	-0.001	-0.008	-0.002	-0.005	-0.006	-0.003	-0.003	0.004	-0.003	-0.002	-0.003	-0.003	-0.013	-0.004	-0.005	0.028	-0.002	-0.006	-0.002
driving	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
literary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
artistic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wipo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
broadcasting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
copyright	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wildlife	-0.011	-0.017	-0.004	-0.004	0.003	-0.01	-0.002	0.009	-0.003	0.007	-0.002	0	0.024	0.001	-0.004	-0.002	-0.003	-0.003	-0.001	-0.004	-0.007	0.002	0.004	0.004	-0.003	-0.004	-0.004	0.017	-0.003	-0.002	-0.011	-0.001	-0.003	-0.009	-0.003	-0.003	-0.002	0.001	-0.001	-0.003	-0.005	-0.004	-0.004	-0.001	0.003	-0.002	-0.003	0.033	0.002	-0.007	0	-0.002	0.044	0.007	-0.01	-0.002	0.038	-0.003	0.03	-0.002	-0.006	0.011	-0.003	-0.004	-0.009	-0.002	0.028	-0.003	-0.004	-0.004	-0.009	0	0	-0.005	-0.007	-0.004	-0.004	-0.007	-0.015	-0.001	-0.002	-0.001	0.063	-0.001	-0.005	0.005	-0.002	-0.002	-0.002	-0.004	-0.002	-0.002	-0.002	-0.004	-0.003	-0.003	-0.002	-0.004	0.032	-0.004
anhalt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
limited	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
violence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
child	-0.011	-0.018	-0.005	-0.003	-0.004	-0.007	-0.002	0.009	-0.004	-0.007	-0.002	-0.001	-0.009	0.007	-0.004	-0.002	-0.004	-0.003	-0.001	0.004	-0.008	-0.002	0.027	-0.004	-0.003	-0.004	0.03	-0.007	0	-0.002	-0.011	-0.002	0.033	0.008	-0.003	0.004	0.312	-0.005	-0.001	-0.004	-0.005	0.004	0.001	-0.001	-0.006	-0.002	-0.003	0.033	0.028	-0.007	0.01	0.03	-0.006	0.01	-0.011	-0.002	0.01	0.001	0.022	-0.002	-0.005	-0.005	-0.008	-0.005	-0.01	0.056	-0.01	0.024	-0.004	-0.005	-0.001	-0.001	0	-0.01	0.043	-0.004	-0.005	0.013	-0.015	0.002	-0.002	-0.001	-0.006	-0.001	-0.006	0.061	-0.002	-0.002	0.211	-0.003	-0.002	-0.002	-0.002	-0.008	-0.003	-0.003	-0.009	0.021	0.121	-0.004
woman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bilateral	-0.009	-0.014	0.008	0.001	0.005	0.022	-0.002	-0.01	-0.003	-0.004	-0.001	0.009	0.043	0.001	-0.003	-0.001	-0.003	-0.003	-0.001	0.008	-0.006	-0.004	0.003	-0.001	-0.004	0.002	-0.003	-0.01	-0.002	-0.001	-0.008	-0.001	0.02	0.105	-0.003	-0.002	-0.002	0.039	-0.001	0.016	0.009	-0.003	0.005	-0.001	-0.005	-0.002	-0.003	0.005	-0.002	-0.006	-0.002	-0.001	0.012	-0.005	-0.007	-0.001	-0.007	-0.002	0.002	0.032	0.005	0.006	-0.006	-0.003	-0.007	-0.002	-0.008	-0.003	-0.003	-0.004	-0.003	0	0	-0.006	-0.005	0	-0.004	-0.006	-0.008	-0.002	-0.002	0	0	-0.001	0.004	0.021	-0.001	-0.002	-0.001	0.004	-0.001	-0.001	-0.002	-0.007	-0.002	-0.003	-0.007	-0.003	-0.003	-0.003
quantity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
landed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
conformity	-0.014	-0.021	-0.006	-0.004	-0.005	0.006	-0.003	0.074	-0.003	-0.007	-0.002	0.007	-0.001	0.016	-0.005	-0.002	-0.005	-0.004	0.015	-0.001	-0.003	0.014	0.009	-0.006	-0.007	0.002	-0.005	0.002	-0.004	0.02	-0.015	-0.002	-0.004	0.003	0.025	-0.004	-0.003	-0.006	-0.001	-0.005	-0.007	0.003	-0.004	0.026	-0.008	0.005	0.026	-0.008	-0.004	0.011	-0.004	-0.002	0.011	0.012	-0.014	-0.002	-0.007	0.02	0.055	-0.003	-0.008	-0.009	-0.011	-0.006	-0.012	-0.003	0.042	0.003	-0.006	0.074	-0.011	-0.001	0	-0.018	-0.006	-0.005	0.005	0.019	-0.019	-0.004	0.007	-0.001	-0.008	-0.002	-0.008	-0.006	-0.003	0.001	-0.002	-0.006	-0.002	-0.002	-0.003	-0.011	-0.004	0.007	-0.013	-0.006	0.039	-0.005
marking	-0.014	-0.021	-0.006	-0.004	-0.005	0.006	-0.003	0.074	-0.003	-0.007	-0.002	0.007	-0.001	0.016	-0.005	-0.002	-0.005	-0.004	0.015	-0.001	-0.003	0.014	0.009	-0.006	-0.007	0.002	-0.005	0.002	-0.004	0.02	-0.015	-0.002	-0.004	0.003	0.025	-0.004	-0.003	-0.006	-0.001	-0.005	-0.007	0.003	-0.004	0.026	-0.008	0.005	0.026	-0.008	-0.004	0.011	-0.004	-0.002	0.011	0.012	-0.014	-0.002	-0.007	0.02	0.055	-0.003	-0.008	-0.009	-0.011	-0.006	-0.012	-0.003	0.042	0.003	-0.006	0.074	-0.011	-0.001	0	-0.018	-0.006	-0.005	0.005	0.019	-0.019	-0.004	0.007	-0.001	-0.008	-0.002	-0.008	-0.006	-0.003	0.001	-0.002	-0.006	-0.002	-0.002	-0.003	-0.011	-0.004	0.007	-0.013	-0.006	0.039	-0.005
thailand	-0.019	0.091	-0.007	0.024	0.007	-0.003	-0.004	-0.021	0.016	0.001	0.008	-0.009	-0.002	-0.005	-0.003	-0.003	0.005	-0.005	-0.002	-0.001	-0.003	-0.006	-0.006	-0.003	-0.008	-0.004	-0.006	-0.009	-0.002	0.004	-0.018	-0.002	-0.004	-0.007	0.005	0.004	-0.003	0.003	-0.002	-0.005	-0.006	-0.007	-0.007	-0.002	-0.01	-0.004	-0.005	-0.011	-0.004	-0.011	-0.005	-0.003	-0.009	0.005	0.033	-0.003	0.016	-0.005	-0.01	-0.004	-0.005	-0.011	-0.013	-0.006	-0.015	-0.004	0.005	-0.005	-0.007	-0.007	0.025	-0.001	0	-0.006	-0.006	-0.006	-0.007	-0.01	-0.014	-0.005	-0.003	-0.001	-0.005	-0.002	-0.008	-0.007	-0.003	0.002	-0.003	-0.005	-0.003	-0.003	0.004	-0.008	-0.004	-0.005	-0.013	-0.006	-0.006	-0.006
report	-0.018	-0.023	0.001	-0.002	-0.005	0.047	-0.004	0.009	-0.005	-0.015	-0.003	0.058	-0.013	0	0.018	0.035	0.011	-0.003	-0.002	0.01	-0.008	0.014	0.009	-0.007	-0.007	0.01	-0.004	-0.024	-0.004	-0.003	-0.018	0.002	-0.004	-0.005	0	0.014	-0.003	-0.007	-0.002	-0.005	-0.004	-0.004	-0.005	-0.001	-0.01	-0.004	-0.001	0.079	0.005	0.014	-0.001	-0.003	-0.008	-0.001	-0.016	0.007	0.046	0	0.081	-0.004	-0.009	-0.01	-0.009	0.009	-0.014	-0.003	0.002	0.176	-0.007	0.023	0.012	0.087	0	-0.021	-0.01	0.003	-0.002	0.017	-0.023	-0.005	0	-0.001	-0.01	-0.002	-0.009	-0.001	-0.003	0.01	-0.003	0.012	0.049	-0.003	-0.003	0.004	-0.004	0.007	0.01	0.013	0.017	-0.006
genetically	-0.015	-0.022	-0.006	-0.006	-0.001	0.044	-0.003	0.008	-0.005	-0.009	-0.002	0.001	-0.011	-0.004	-0.005	-0.002	-0.005	-0.004	-0.002	-0.005	-0.005	0.446	0.002	-0.006	-0.007	-0.005	-0.005	-0.023	-0.004	-0.002	-0.014	-0.002	-0.004	-0.006	-0.004	-0.004	-0.003	-0.006	-0.001	-0.005	-0.005	-0.006	-0.004	-0.001	0.018	-0.003	-0.004	-0.006	-0.004	-0.009	-0.004	-0.002	-0.001	0.024	-0.011	-0.002	0.098	-0.004	0.036	-0.003	-0.008	-0.009	-0.01	-0.006	-0.012	0.004	-0.012	0.017	-0.005	-0.002	-0.008	-0.001	0	-0.017	-0.009	-0.005	-0.006	0.023	-0.016	-0.004	0.016	-0.001	-0.008	-0.002	-0.008	-0.006	0	-0.003	0.015	-0.006	-0.002	-0.002	-0.003	-0.005	0	-0.004	-0.009	0.054	0.003	-0.004
modified	-0.015	-0.022	-0.006	-0.006	-0.001	0.044	-0.003	0.008	-0.005	-0.009	-0.002	0.001	-0.011	-0.004	-0.005	-0.002	-0.005	-0.004	-0.002	-0.005	-0.005	0.446	0.002	-0.006	-0.007	-0.005	-0.005	-0.023	-0.004	-0.002	-0.014	-0.002	-0.004	-0.006	-0.004	-0.004	-0.003	-0.006	-0.001	-0.005	-0.005	-0.006	-0.004	-0.001	0.018	-0.003	-0.004	-0.006	-0.004	-0.009	-0.004	-0.002	-0.001	0.024	-0.011	-0.002	0.098	-0.004	0.036	-0.003	-0.008	-0.009	-0.01	-0.006	-0.012	0.004	-0.012	0.017	-0.005	-0.002	-0.008	-0.001	0	-0.017	-0.009	-0.005	-0.006	0.023	-0.016	-0.004	0.016	-0.001	-0.008	-0.002	-0.008	-0.006	0	-0.003	0.015	-0.006	-0.002	-0.002	-0.003	-0.005	0	-0.004	-0.009	0.054	0.003	-0.004
organism	-0.015	-0.022	-0.006	-0.006	-0.001	0.044	-0.003	0.008	-0.005	-0.009	-0.002	0.001	-0.011	-0.004	-0.005	-0.002	-0.005	-0.004	-0.002	-0.005	-0.005	0.446	0.002	-0.006	-0.007	-0.005	-0.005	-0.023	-0.004	-0.002	-0.014	-0.002	-0.004	-0.006	-0.004	-0.004	-0.003	-0.006	-0.001	-0.005	-0.005	-0.006	-0.004	-0.001	0.018	-0.003	-0.004	-0.006	-0.004	-0.009	-0.004	-0.002	-0.001	0.024	-0.011	-0.002	0.098	-0.004	0.036	-0.003	-0.008	-0.009	-0.01	-0.006	-0.012	0.004	-0.012	0.017	-0.005	-0.002	-0.008	-0.001	0	-0.017	-0.009	-0.005	-0.006	0.023	-0.016	-0.004	0.016	-0.001	-0.008	-0.002	-0.008	-0.006	0	-0.003	0.015	-0.006	-0.002	-0.002	-0.003	-0.005	0	-0.004	-0.009	0.054	0.003	-0.004
payment	-0.027	-0.04	-0.001	-0.009	-0.009	0	0.007	-0.034	-0.008	-0.019	-0.004	0.01	-0.016	-0.006	0.038	-0.004	0.007	-0.004	-0.003	0.005	-0.01	-0.01	-0.014	0.011	-0.01	-0.004	0.005	-0.044	-0.003	0.002	-0.027	0.01	-0.005	-0.013	-0.004	-0.004	-0.005	-0.011	-0.003	-0.005	0.017	-0.01	-0.006	-0.002	-0.006	0.059	-0.006	-0.006	-0.007	-0.017	-0.008	-0.001	-0.004	-0.002	-0.024	-0.004	-0.024	-0.007	-0.006	-0.006	-0.001	-0.017	0.128	0.45	-0.005	-0.005	-0.022	-0.007	-0.009	-0.004	-0.014	-0.001	0.026	-0.031	-0.011	0.019	0.009	-0.019	-0.032	-0.008	-0.005	-0.001	0.031	-0.003	-0.011	-0.008	-0.005	-0.005	-0.004	-0.006	0.009	-0.004	-0.005	0.006	-0.004	-0.007	0.315	-0.006	-0.009	-0.009
atlantic	-0.021	-0.03	-0.008	0.016	-0.001	0.011	-0.004	-0.019	-0.006	0.051	-0.003	-0.002	-0.01	-0.001	-0.004	-0.003	-0.005	-0.006	-0.002	-0.007	-0.002	-0.005	-0.009	-0.006	-0.009	-0.006	-0.007	-0.034	-0.005	-0.003	-0.017	-0.003	-0.005	-0.008	-0.006	-0.005	-0.004	-0.008	-0.002	-0.006	-0.009	-0.008	-0.003	-0.002	-0.012	-0.004	-0.006	-0.005	-0.005	0.096	-0.005	-0.003	-0.01	-0.003	-0.02	-0.003	-0.016	-0.005	-0.004	-0.004	-0.007	0.282	-0.014	-0.008	-0.017	0.029	-0.018	-0.006	-0.007	-0.008	-0.015	-0.001	-0.001	-0.019	-0.011	-0.007	-0.005	-0.013	-0.026	-0.003	0.072	0.093	0.035	-0.002	-0.011	0.008	0.003	-0.004	-0.003	-0.005	-0.003	-0.003	-0.004	-0.008	-0.005	-0.006	-0.017	-0.002	-0.007	-0.007
ocean	-0.021	-0.031	-0.008	0.016	-0.001	0.012	-0.004	-0.022	-0.006	0.051	-0.003	-0.003	-0.01	-0.001	-0.004	-0.003	-0.005	-0.006	-0.002	-0.007	-0.005	-0.005	-0.009	-0.007	-0.009	-0.006	-0.007	-0.034	-0.005	-0.003	-0.017	-0.003	-0.005	-0.005	-0.006	-0.005	-0.004	-0.008	-0.002	-0.006	-0.009	-0.008	-0.003	-0.002	-0.012	-0.004	-0.006	-0.005	-0.005	0.098	-0.005	-0.003	-0.01	0.004	-0.02	-0.003	-0.016	-0.005	-0.005	-0.004	-0.007	0.283	-0.015	-0.008	-0.017	0.037	-0.018	-0.006	-0.008	-0.008	-0.015	-0.001	-0.001	-0.02	-0.011	-0.007	-0.006	-0.014	-0.026	-0.003	0.048	0.092	0.037	-0.002	-0.011	0.008	0.003	-0.004	-0.003	-0.005	-0.003	-0.003	-0.004	-0.008	-0.005	-0.003	-0.017	-0.002	-0.007	-0.007
ecosystem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
record	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
invitation	-0.017	-0.006	-0.007	-0.004	-0.005	0	-0.004	-0.021	-0.005	-0.001	-0.003	-0.002	-0.01	0	-0.006	-0.003	-0.006	-0.005	-0.002	-0.006	-0.007	-0.007	-0.007	-0.007	-0.008	-0.004	0.02	-0.024	-0.004	-0.003	0.081	0.003	-0.004	-0.006	-0.005	-0.005	-0.003	-0.001	-0.002	-0.005	-0.008	0.01	-0.007	-0.001	-0.01	-0.004	0	-0.009	-0.004	0.031	-0.005	-0.003	-0.007	-0.009	-0.014	-0.003	-0.007	-0.005	-0.011	0.009	-0.009	-0.011	0.042	-0.007	0.07	-0.003	-0.015	0.002	-0.007	-0.005	0.035	-0.001	0	-0.013	0.023	-0.006	0.009	-0.011	-0.005	0.011	-0.003	-0.001	-0.01	0.004	-0.001	-0.007	-0.003	-0.003	-0.003	-0.007	-0.003	-0.003	-0.003	0.018	-0.001	-0.001	-0.009	-0.006	-0.006	-0.006
tender	-0.017	-0.006	-0.007	-0.004	-0.005	0	-0.004	-0.021	-0.005	-0.001	-0.003	-0.002	-0.01	0	-0.006	-0.003	-0.006	-0.005	-0.002	-0.006	-0.007	-0.007	-0.007	-0.007	-0.008	-0.004	0.02	-0.024	-0.004	-0.003	0.081	0.003	-0.004	-0.006	-0.005	-0.005	-0.003	-0.001	-0.002	-0.005	-0.008	0.01	-0.007	-0.001	-0.01	-0.004	0	-0.009	-0.004	0.031	-0.005	-0.003	-0.007	-0.009	-0.014	-0.003	-0.007	-0.005	-0.011	0.009	-0.009	-0.011	0.042	-0.007	0.07	-0.003	-0.015	0.002	-0.007	-0.005	0.035	-0.001	0	-0.013	0.023	-0.006	0.009	-0.011	-0.005	0.011	-0.003	-0.001	-0.01	0.004	-0.001	-0.007	-0.003	-0.003	-0.003	-0.007	-0.003	-0.003	-0.003	0.018	-0.001	-0.001	-0.009	-0.006	-0.006	-0.006
recession	-0.024	-0.035	-0.009	0.007	-0.007	-0.011	-0.005	-0.033	-0.006	-0.018	-0.003	0.005	-0.015	-0.005	0.001	-0.004	0.019	-0.007	-0.003	0	-0.01	-0.007	-0.012	0.013	-0.01	-0.004	-0.002	-0.045	0.001	-0.004	-0.023	-0.003	-0.003	-0.011	0.006	-0.006	-0.004	-0.009	-0.002	-0.007	0.012	-0.008	-0.009	-0.002	-0.014	0.154	-0.005	-0.006	0.006	-0.014	-0.002	-0.004	0.004	-0.012	-0.023	-0.004	-0.021	-0.005	-0.018	-0.005	0.099	-0.014	0.097	0.532	-0.019	-0.005	-0.021	-0.007	-0.009	-0.009	-0.018	-0.001	-0.001	-0.027	-0.014	0.01	0.012	-0.015	-0.029	-0.006	-0.004	-0.001	0.038	-0.003	-0.008	-0.009	-0.001	-0.004	-0.004	-0.005	-0.003	-0.004	-0.004	-0.007	-0.006	-0.007	0.269	-0.007	-0.008	-0.008
montenegro	-0.015	-0.019	0.016	0.014	-0.005	0.02	-0.003	-0.005	-0.005	0.007	-0.002	-0.003	0.066	-0.004	-0.002	-0.002	-0.005	-0.002	-0.002	-0.005	-0.007	-0.004	0.003	-0.004	-0.007	-0.002	-0.002	-0.001	-0.004	-0.002	-0.015	0.004	0.003	0.025	-0.003	-0.004	-0.003	-0.006	-0.001	0.001	0.013	0.027	0.029	-0.001	0.006	0.029	-0.004	-0.006	-0.004	0.002	-0.004	-0.002	-0.007	-0.006	-0.01	-0.002	-0.005	-0.004	0.011	0.01	-0.007	-0.006	0.004	-0.006	-0.011	0	-0.005	-0.005	-0.002	-0.006	-0.012	-0.001	0	-0.01	0.006	0	-0.006	-0.01	-0.01	0.002	-0.003	-0.001	0	-0.002	0.219	0.006	0.047	-0.003	0.005	-0.006	-0.002	-0.002	-0.003	-0.003	-0.004	0.012	0.014	-0.006	-0.005	0.001
show	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bull	-0.009	0.009	-0.004	-0.004	-0.003	-0.006	-0.002	-0.003	-0.003	0.005	-0.001	-0.004	-0.007	-0.002	-0.003	-0.001	-0.003	-0.003	-0.001	-0.003	0.002	-0.004	-0.004	-0.003	-0.004	-0.003	-0.003	0.026	-0.002	-0.001	-0.009	-0.001	-0.002	-0.004	-0.003	0.1	-0.002	-0.004	-0.001	-0.003	-0.004	-0.003	-0.003	-0.001	-0.005	-0.002	-0.003	-0.005	-0.002	-0.006	-0.002	-0.001	0.007	-0.005	0.086	-0.001	-0.008	-0.002	-0.006	-0.002	-0.005	-0.005	-0.006	-0.003	-0.007	-0.002	0.002	-0.003	-0.003	-0.004	-0.007	0	0	-0.009	-0.004	-0.003	-0.004	-0.006	-0.012	-0.002	-0.002	0	-0.005	-0.001	-0.005	-0.003	-0.001	-0.002	-0.001	-0.004	-0.001	-0.001	-0.002	0.003	-0.002	-0.003	-0.008	-0.003	-0.003	-0.003
pornography	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
circulation	-0.009	0.002	0.008	0	-0.003	0.003	-0.002	-0.006	0.045	-0.005	-0.001	-0.001	0.014	-0.002	-0.002	-0.002	0.008	-0.003	-0.001	-0.002	0.01	-0.004	-0.004	0.004	-0.004	-0.002	-0.003	-0.002	0.007	-0.001	-0.009	0.002	0.002	0.017	-0.003	0.017	-0.002	-0.004	0.018	-0.003	-0.004	-0.004	-0.004	-0.001	0.002	-0.002	-0.003	-0.006	-0.002	-0.006	-0.003	-0.002	0.004	-0.003	0.005	-0.001	0.022	0	0.006	-0.002	-0.005	-0.005	-0.007	-0.004	-0.008	-0.002	-0.003	-0.003	-0.004	0.019	-0.008	0	0	0	0.02	-0.003	0.005	0.006	0.002	-0.003	-0.002	0	-0.004	-0.001	-0.004	-0.001	-0.002	-0.002	-0.001	-0.004	-0.001	-0.001	-0.002	-0.006	0.012	0.004	-0.008	-0.004	0.02	-0.003
tree	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
