Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X140	X141	X142	X143	X144	X145	X146	X147	X148	X149
extra	0.064	0.013	0.001	-0.002	-0.011	0.006	0.002	-0.001	-0.001	-0.012	-0.003	-0.004	0.002	-0.002	-0.007	-0.003	-0.001	-0.007	-0.001	0.004	-0.003	-0.007	-0.002	0.005	0.007	-0.004	-0.005	-0.006	0.006	0	0.015	-0.001	0.006	-0.007	-0.002	-0.001	-0.001	-0.003	-0.003	0.003	0.002	-0.004	0.043	-0.001	-0.003	-0.003	0.005	-0.006	0.007	-0.004	0.005	-0.014	-0.003	-0.01	0	-0.002	-0.01	-0.002	-0.003	-0.005	-0.004	-0.001	-0.002	0.021	-0.004	-0.002	-0.003	-0.002	0.029	-0.002	-0.004	-0.003	0	0.027	-0.006	-0.001	-0.004	-0.003	-0.004	0.002	-0.003	-0.002	-0.004	-0.004	0.032	-0.002	0.007	0.006	-0.003	-0.006	-0.005	-0.003	-0.002	-0.004	0.009	-0.006	-0.004	-0.001	-0.006	-0.006	0.005	-0.002	-0.004	-0.002	-0.007	-0.002	-0.005	-0.002	0.013	0.005	-0.003	-0.004	0.003	-0.004	-0.004	-0.003	-0.004	-0.002	-0.007	-0.002	-0.004	0.015	0.015	-0.002	-0.004	-0.013	-0.002	0.053	-0.002	0.03	-0.003	0.001	-0.005	-0.003	-0.001	-0.001	-0.004	-0.003	-0.002	-0.003	0.011	0.024	0.042	0.016	0.015	0.009	-0.005	-0.005	-0.001	0.009
line	0	-0.002	-0.002	0.015	-0.007	-0.001	-0.002	0	-0.007	-0.006	-0.006	-0.002	-0.002	-0.001	-0.004	-0.002	-0.001	-0.005	-0.001	-0.004	-0.003	-0.004	-0.001	-0.002	0.014	-0.002	-0.002	-0.003	-0.003	0	-0.004	-0.001	-0.001	-0.004	-0.001	0	0	-0.001	-0.002	-0.001	-0.001	-0.002	0.211	0	-0.002	-0.001	-0.005	-0.003	0.014	-0.002	-0.004	-0.008	-0.002	-0.004	-0.003	-0.001	-0.006	-0.001	-0.001	0.024	-0.002	0.008	-0.001	0	0.027	-0.001	-0.001	-0.001	-0.006	-0.001	-0.002	-0.002	0	-0.003	0.02	-0.001	-0.002	-0.001	-0.002	-0.002	-0.002	-0.001	-0.002	-0.002	-0.003	-0.003	0.018	-0.005	0.002	-0.003	-0.003	-0.002	-0.001	-0.002	-0.003	0.001	-0.003	-0.001	-0.003	-0.003	-0.002	-0.001	-0.002	-0.001	-0.004	-0.001	-0.003	0.002	-0.003	-0.001	0.053	-0.002	-0.003	-0.004	-0.002	-0.002	-0.005	-0.001	0.005	-0.001	-0.002	0.032	-0.003	-0.001	-0.002	-0.01	-0.001	-0.003	-0.001	-0.005	-0.001	-0.003	-0.003	-0.002	-0.01	-0.001	-0.002	-0.001	-0.001	-0.002	-0.001	0.022	-0.005	0.014	-0.002	-0.001	-0.003	-0.003	-0.001	-0.001
engineering	0	-0.002	-0.002	0.001	-0.002	-0.001	-0.003	0	-0.002	-0.008	0.009	0.032	-0.002	-0.001	0	0.056	0.013	0.004	-0.001	-0.005	-0.004	-0.005	0.032	-0.002	-0.004	0.016	-0.003	-0.003	-0.003	0	-0.004	-0.001	-0.001	-0.004	-0.001	0	0	-0.002	0.009	-0.002	-0.001	0.003	-0.003	0	-0.002	-0.002	-0.006	-0.004	-0.01	0.004	0.06	0.02	-0.002	0.004	-0.003	-0.001	-0.004	-0.001	-0.002	-0.007	-0.002	-0.002	-0.001	-0.001	-0.003	-0.001	-0.002	-0.001	-0.007	-0.001	0.016	0.013	0	-0.004	-0.002	-0.001	0.015	-0.002	-0.003	-0.002	0	-0.002	-0.002	-0.003	-0.003	0.051	0.04	0.045	-0.002	-0.003	-0.003	0.007	-0.001	-0.002	-0.002	-0.005	-0.003	-0.001	0.007	-0.004	-0.002	-0.001	-0.003	-0.001	-0.004	0.028	-0.003	-0.002	-0.003	-0.001	-0.002	-0.003	-0.004	0.01	-0.003	-0.002	-0.005	-0.001	-0.001	-0.001	-0.003	-0.012	-0.003	-0.001	-0.003	-0.011	-0.001	-0.004	-0.001	-0.005	-0.002	-0.003	-0.003	0.014	-0.008	-0.001	-0.002	-0.002	0.002	0.025	-0.002	0	-0.006	0.002	-0.003	-0.001	-0.004	0.022	-0.001	-0.001
zambia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
congo	-0.001	-0.003	-0.004	-0.01	-0.013	-0.002	-0.004	-0.001	0.017	-0.013	-0.01	-0.004	-0.003	-0.002	-0.006	0.012	-0.002	-0.004	-0.001	0.057	-0.006	-0.008	-0.002	-0.004	-0.007	-0.004	-0.005	-0.003	-0.005	0	0.024	-0.001	-0.002	-0.006	-0.002	-0.001	-0.001	-0.003	-0.003	0.004	-0.002	-0.004	-0.005	-0.001	-0.002	-0.003	-0.008	-0.007	-0.016	0.016	-0.007	-0.013	0.012	-0.009	-0.005	0.005	-0.008	-0.002	-0.003	0.011	-0.004	-0.004	-0.002	-0.009	0.024	-0.002	0.009	0.461	-0.012	-0.002	-0.004	-0.003	0	-0.006	-0.005	-0.001	0.001	-0.003	-0.004	-0.004	-0.004	-0.003	-0.004	0.006	-0.005	-0.005	-0.003	-0.009	-0.003	-0.006	-0.005	-0.003	0.007	0.021	0.002	-0.005	0	-0.001	-0.006	0.114	0.011	0.016	-0.005	-0.002	-0.006	-0.002	-0.005	0.134	-0.005	-0.002	-0.003	-0.005	0.004	-0.007	0.026	-0.003	0.018	-0.002	-0.012	-0.002	0.222	-0.035	-0.004	-0.002	-0.004	-0.018	-0.002	-0.006	0.001	-0.009	0	-0.005	-0.005	0	-0.02	-0.001	-0.004	-0.003	-0.002	-0.003	0.002	0.01	-0.01	0.001	-0.004	-0.002	-0.006	0.003	-0.002	0.001
cease	0	-0.001	-0.001	-0.004	-0.004	0	-0.001	0	0.022	-0.004	-0.003	-0.001	-0.001	0	-0.002	-0.001	0	-0.003	0	-0.004	-0.002	-0.002	-0.001	-0.001	-0.002	-0.001	-0.001	-0.002	-0.001	0	-0.002	0	-0.001	-0.002	-0.001	0	0	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	0	-0.001	-0.001	-0.003	-0.002	-0.005	-0.001	-0.002	-0.004	-0.001	-0.003	-0.001	-0.001	-0.003	-0.001	-0.001	-0.003	-0.001	-0.001	0	-0.004	-0.001	-0.001	-0.001	0.101	-0.003	-0.001	-0.001	-0.001	0	-0.002	-0.003	0	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.003	-0.001	-0.002	-0.002	-0.001	-0.001	-0.001	-0.002	-0.002	-0.002	0	-0.002	0.045	-0.001	0	-0.001	-0.001	-0.002	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.002	-0.002	-0.001	-0.001	0.03	-0.001	-0.003	-0.001	0.042	-0.011	-0.002	-0.001	-0.001	-0.005	-0.001	-0.002	-0.001	-0.003	-0.001	-0.001	-0.001	-0.001	-0.006	0	-0.001	-0.001	-0.001	-0.001	-0.001	-0.002	-0.003	-0.001	-0.001	-0.001	-0.002	-0.001	0	-0.001
texture	0	-0.002	-0.002	0.011	0.042	-0.001	-0.002	0	-0.003	-0.006	-0.005	-0.002	-0.002	-0.001	-0.003	-0.002	-0.001	0	-0.001	0.006	-0.003	-0.004	-0.001	-0.002	0.003	-0.002	0.001	-0.003	-0.002	0	-0.003	-0.001	-0.001	-0.003	-0.001	0	0	-0.001	-0.002	-0.001	-0.001	-0.002	-0.002	0	-0.002	-0.001	-0.005	-0.003	0.017	-0.002	-0.002	-0.007	-0.001	-0.005	-0.002	-0.001	-0.005	-0.001	-0.001	-0.001	-0.002	-0.002	-0.001	0.03	-0.002	-0.001	-0.001	-0.001	-0.006	-0.001	0.11	0.017	0	-0.003	-0.005	0	-0.002	-0.001	-0.002	-0.002	-0.002	-0.001	-0.002	-0.002	-0.002	-0.003	-0.002	-0.004	-0.002	-0.003	-0.003	-0.002	-0.001	-0.001	-0.003	0.002	-0.003	-0.001	0.008	-0.003	-0.002	-0.001	-0.002	-0.001	-0.003	-0.001	0.011	-0.002	-0.002	-0.001	-0.001	-0.002	-0.003	-0.001	-0.002	-0.001	-0.005	-0.001	-0.001	-0.001	-0.002	-0.006	-0.003	-0.001	-0.002	-0.009	-0.001	-0.003	-0.001	-0.002	0.025	-0.002	-0.003	-0.002	-0.009	-0.001	-0.002	-0.001	-0.001	0.026	-0.001	-0.003	-0.005	-0.003	-0.002	-0.001	-0.003	-0.002	-0.001	-0.001
agent	0	-0.002	-0.002	0.011	0.042	-0.001	-0.002	0	-0.003	-0.006	-0.005	-0.002	-0.002	-0.001	-0.003	-0.002	-0.001	0	-0.001	0.006	-0.003	-0.004	-0.001	-0.002	0.003	-0.002	0.001	-0.003	-0.002	0	-0.003	-0.001	-0.001	-0.003	-0.001	0	0	-0.001	-0.002	-0.001	-0.001	-0.002	-0.002	0	-0.002	-0.001	-0.005	-0.003	0.017	-0.002	-0.002	-0.007	-0.001	-0.005	-0.002	-0.001	-0.005	-0.001	-0.001	-0.001	-0.002	-0.002	-0.001	0.03	-0.002	-0.001	-0.001	-0.001	-0.006	-0.001	0.11	0.017	0	-0.003	-0.005	0	-0.002	-0.001	-0.002	-0.002	-0.002	-0.001	-0.002	-0.002	-0.002	-0.003	-0.002	-0.004	-0.002	-0.003	-0.003	-0.002	-0.001	-0.001	-0.003	0.002	-0.003	-0.001	0.008	-0.003	-0.002	-0.001	-0.002	-0.001	-0.003	-0.001	0.011	-0.002	-0.002	-0.001	-0.001	-0.002	-0.003	-0.001	-0.002	-0.001	-0.005	-0.001	-0.001	-0.001	-0.002	-0.006	-0.003	-0.001	-0.002	-0.009	-0.001	-0.003	-0.001	-0.002	0.025	-0.002	-0.003	-0.002	-0.009	-0.001	-0.002	-0.001	-0.001	0.026	-0.001	-0.003	-0.005	-0.003	-0.002	-0.001	-0.003	-0.002	-0.001	-0.001
survey	-0.001	0.003	0.004	-0.002	-0.011	0.012	-0.004	-0.001	-0.008	-0.008	-0.003	-0.003	-0.003	-0.001	-0.006	-0.003	0.057	-0.008	-0.001	-0.009	-0.005	-0.007	-0.002	-0.003	0.083	-0.003	-0.004	-0.005	-0.004	0	-0.006	-0.001	-0.002	-0.004	-0.002	0	-0.001	0.016	-0.003	0.007	-0.002	-0.003	-0.004	-0.001	0.071	-0.002	-0.008	-0.005	-0.013	-0.003	-0.004	-0.012	-0.002	0.071	-0.004	-0.002	-0.009	0.042	-0.002	-0.005	-0.003	-0.002	-0.001	-0.006	-0.004	-0.002	-0.002	-0.002	-0.005	-0.002	-0.003	-0.002	0	-0.005	-0.005	-0.001	-0.004	-0.002	-0.001	-0.003	0.029	-0.002	-0.003	0.119	-0.004	-0.004	-0.004	0.004	0	0.004	0.007	-0.003	-0.001	-0.003	-0.005	-0.006	-0.005	-0.001	0.124	-0.005	-0.003	-0.001	-0.004	-0.002	-0.006	-0.002	0.009	-0.003	-0.004	-0.002	-0.002	-0.001	-0.005	0.009	-0.004	0.179	-0.004	-0.002	-0.01	-0.002	-0.002	-0.002	-0.005	-0.002	-0.004	-0.011	-0.002	-0.005	-0.002	0	-0.002	-0.004	-0.004	-0.003	-0.016	-0.001	-0.003	-0.002	-0.002	-0.003	-0.002	0.03	0.125	0.023	-0.004	-0.002	0.033	-0.004	-0.001	-0.002
farm	-0.001	-0.006	-0.007	-0.017	-0.024	-0.003	-0.009	-0.001	-0.025	0.127	-0.012	-0.005	0.004	-0.003	-0.001	-0.006	-0.003	-0.017	-0.003	-0.012	-0.006	-0.015	-0.004	-0.007	0.046	-0.008	0.045	-0.009	-0.01	-0.001	-0.013	-0.002	-0.004	0.057	-0.004	-0.001	-0.001	-0.005	-0.007	-0.003	0.001	-0.005	0.001	-0.001	0.007	-0.005	0.014	-0.007	-0.028	-0.008	-0.013	0.036	0.003	-0.017	-0.009	-0.004	-0.006	-0.002	-0.005	-0.02	0.003	-0.007	-0.003	-0.008	-0.008	-0.004	0	0	-0.014	-0.003	0.001	0.034	-0.001	-0.007	0.019	-0.002	0.006	0.004	0.021	-0.008	-0.002	-0.005	-0.008	-0.008	-0.009	-0.01	-0.009	-0.004	-0.005	-0.001	-0.01	-0.006	-0.003	-0.006	-0.01	-0.015	0.007	-0.002	0.005	-0.011	-0.004	0.001	-0.007	-0.004	-0.008	-0.004	-0.01	-0.007	-0.009	-0.005	-0.005	0.005	-0.012	-0.01	-0.008	-0.006	0.001	-0.004	-0.022	-0.004	-0.008	0.018	-0.009	-0.004	0.013	-0.001	-0.004	-0.011	-0.004	-0.008	-0.005	-0.009	-0.007	-0.005	-0.038	-0.002	0.021	-0.005	-0.004	-0.006	-0.005	0.001	0.048	-0.002	0.003	-0.005	-0.009	-0.009	-0.003	-0.004
accountancy	-0.001	-0.002	-0.003	0.006	-0.009	-0.001	-0.003	0	-0.01	-0.009	0	-0.003	0.012	-0.001	0.001	-0.002	-0.001	-0.007	-0.001	-0.001	0.009	-0.006	-0.002	-0.003	0.114	-0.003	0.074	-0.004	-0.004	0	-0.005	-0.001	-0.002	0.127	-0.001	0	0	-0.002	-0.003	-0.002	-0.002	-0.003	-0.002	-0.001	-0.003	-0.002	-0.007	0.008	-0.01	-0.003	-0.005	0.002	-0.002	-0.003	-0.004	-0.002	-0.007	0.004	-0.002	-0.005	-0.003	-0.001	-0.001	-0.005	-0.003	-0.002	-0.002	0.007	-0.009	-0.002	-0.003	0.004	0	-0.005	-0.007	-0.001	-0.003	-0.002	0.029	-0.003	0.008	-0.002	-0.003	-0.003	-0.004	-0.004	-0.003	0.016	0.001	-0.004	-0.004	-0.002	-0.001	-0.003	-0.001	-0.006	0.042	-0.001	0.029	-0.005	-0.003	-0.001	-0.003	-0.002	0.007	-0.001	-0.004	-0.003	-0.004	-0.002	-0.002	0.008	-0.005	-0.003	-0.003	-0.002	-0.001	-0.002	-0.009	-0.002	-0.002	0.021	-0.004	-0.002	0.035	0.024	-0.002	-0.004	-0.001	0.005	-0.002	-0.004	-0.004	-0.003	-0.015	-0.001	-0.003	-0.002	-0.002	-0.002	-0.002	0.017	0.002	0.016	0.004	-0.002	-0.004	-0.004	-0.001	-0.002
inquiry	0	0.102	-0.001	-0.005	-0.005	-0.001	-0.002	0	-0.005	-0.005	-0.004	-0.002	-0.002	0.025	-0.003	-0.001	-0.001	0.047	-0.001	-0.005	-0.002	-0.003	-0.001	-0.001	0.006	-0.002	0.004	-0.002	-0.002	0	-0.003	0	-0.001	0.016	-0.001	0	0	-0.001	-0.001	-0.001	-0.001	-0.001	-0.002	0	-0.001	-0.001	-0.004	-0.003	-0.006	-0.002	-0.003	-0.006	-0.001	-0.004	-0.002	0.146	-0.004	-0.001	-0.001	-0.004	-0.002	0.02	-0.001	-0.005	-0.002	-0.001	-0.001	-0.001	-0.005	-0.001	-0.002	-0.001	0	-0.003	-0.004	0.059	-0.002	-0.001	-0.002	-0.002	0	-0.001	-0.002	0.01	-0.002	-0.002	-0.002	-0.004	0.014	-0.002	0.006	-0.001	-0.001	-0.002	0.158	-0.003	-0.002	0	-0.002	-0.002	-0.002	-0.001	-0.002	-0.001	-0.003	-0.001	-0.002	-0.001	-0.002	-0.001	-0.001	-0.002	0.009	-0.003	-0.002	-0.001	-0.004	-0.001	-0.005	-0.001	-0.002	-0.015	-0.002	0.16	-0.002	-0.007	-0.001	-0.002	-0.001	-0.004	-0.001	-0.002	-0.002	-0.001	-0.007	0	-0.002	0.047	-0.001	-0.001	-0.001	-0.002	-0.004	-0.002	-0.002	-0.001	-0.002	-0.002	-0.001	-0.001
limitation	-0.001	0.001	-0.003	-0.004	-0.009	-0.001	0	0	-0.007	-0.01	-0.008	-0.003	0.03	0.01	-0.005	-0.002	-0.001	-0.005	-0.001	-0.006	-0.004	-0.005	-0.002	0.147	0.003	-0.003	-0.003	-0.004	-0.004	0	0.009	-0.001	-0.002	-0.005	-0.001	0	0	0.006	-0.003	-0.002	0	-0.003	0.003	-0.001	-0.003	-0.002	-0.007	-0.003	-0.012	-0.003	-0.004	-0.011	-0.002	-0.008	-0.004	-0.002	-0.008	-0.001	-0.002	0.009	-0.003	-0.003	-0.001	-0.01	-0.003	-0.002	0.001	-0.001	-0.009	-0.002	-0.003	-0.002	0	-0.005	-0.007	-0.001	-0.003	-0.002	-0.003	-0.003	-0.003	-0.002	-0.003	-0.003	-0.004	-0.004	-0.003	0	0.002	-0.004	0	-0.002	-0.001	-0.003	0.003	-0.006	-0.002	-0.001	-0.004	0.148	0.03	-0.001	-0.003	-0.002	-0.005	-0.001	-0.004	-0.002	-0.004	-0.002	0.005	0.013	-0.003	0.005	-0.003	-0.002	0.047	0.023	-0.009	-0.002	0.029	-0.022	0.018	0.01	-0.003	-0.014	-0.002	-0.004	-0.001	-0.001	-0.002	-0.004	-0.004	-0.003	-0.015	-0.001	-0.003	-0.002	-0.002	0.057	-0.002	0.16	-0.007	-0.004	-0.003	-0.002	-0.004	0.009	-0.001	0.019
fight	-0.001	0.002	0.043	-0.004	-0.007	-0.002	-0.003	-0.001	0.006	-0.017	-0.012	0.001	0.018	-0.002	-0.008	0.045	0.037	0.026	-0.002	-0.002	-0.008	-0.01	-0.003	0.052	0.071	-0.005	-0.003	-0.003	0.001	0	-0.002	-0.002	-0.003	-0.006	-0.002	-0.001	-0.001	0.001	0.004	-0.004	-0.002	0	0.029	-0.001	-0.003	-0.003	-0.007	0.005	-0.019	0.017	0.017	-0.018	0.001	-0.004	0.024	-0.003	-0.014	0.021	0.037	0.006	-0.002	-0.001	-0.002	-0.012	-0.004	0.001	0	0.179	-0.015	0.022	0.001	-0.004	0	-0.007	-0.013	-0.001	-0.003	-0.002	-0.006	0.002	-0.004	0.003	-0.005	0.016	-0.006	-0.007	0.005	-0.004	0.031	0.013	0.029	-0.004	-0.002	0.074	0.002	-0.01	-0.005	-0.001	-0.003	0.077	0.012	0.002	-0.006	-0.003	-0.008	-0.003	-0.006	0.004	0	-0.003	-0.003	0.014	0.008	-0.006	-0.006	0.02	0.013	0.007	-0.003	-0.003	0.04	-0.037	-0.005	0.221	0.046	-0.023	-0.003	-0.007	-0.002	-0.01	0.024	-0.006	0.002	-0.003	-0.025	-0.001	-0.001	0.013	-0.003	0.005	-0.004	0.125	-0.012	0.014	0.023	-0.003	-0.006	-0.005	-0.002	0.003
crime	-0.001	0.006	0.036	-0.012	-0.017	-0.002	-0.003	-0.001	0.009	-0.018	-0.014	-0.005	0.017	0.002	-0.008	0.006	-0.002	0.036	-0.002	-0.005	-0.005	-0.01	-0.003	0.048	0.074	-0.006	0.001	-0.008	0	-0.001	-0.003	-0.002	-0.003	-0.007	-0.003	-0.001	-0.001	0.001	0.008	-0.004	-0.002	-0.005	0.027	-0.001	-0.005	-0.004	-0.007	0.004	-0.022	0.065	0.002	-0.021	-0.004	-0.003	0.115	0.097	-0.015	-0.001	0.054	0.021	-0.004	-0.002	-0.002	-0.013	0.006	0.001	0	0.207	-0.016	0.021	-0.005	-0.001	-0.001	-0.007	-0.005	0.048	-0.004	-0.004	-0.006	0.002	-0.006	0.004	-0.005	0.02	-0.007	-0.007	-0.006	-0.008	0.047	0.002	0.027	-0.004	-0.002	0.08	0.001	-0.011	-0.006	-0.001	-0.007	0.124	0.011	0.002	-0.006	-0.003	-0.009	-0.003	-0.006	0.004	0	-0.003	-0.004	0.002	0.017	-0.006	-0.006	-0.004	0.008	0.007	-0.006	-0.003	0.042	-0.047	-0.002	0.328	0.088	-0.025	-0.003	-0.007	-0.003	-0.011	0.022	-0.006	-0.007	-0.004	-0.027	-0.001	-0.001	0.035	-0.003	0.004	-0.004	0.106	-0.013	0.014	0.019	-0.003	-0.008	-0.001	-0.002	0.003
firearm	-0.001	0.001	-0.003	-0.003	-0.009	-0.001	-0.002	0	-0.001	-0.01	-0.007	-0.003	0.025	-0.001	-0.005	0.017	-0.001	0	-0.001	-0.008	-0.004	-0.006	-0.002	0.118	0.006	0.001	-0.003	-0.004	-0.004	0	0.028	0.024	-0.002	-0.005	-0.001	0	0	0.006	0	-0.002	0.003	-0.003	0.001	-0.001	-0.003	-0.002	-0.006	-0.005	-0.012	-0.003	0.015	-0.011	-0.002	-0.008	0.002	-0.002	-0.008	-0.001	0.01	-0.004	-0.003	-0.003	-0.001	-0.004	-0.003	-0.002	-0.002	0.03	-0.009	-0.002	0.007	-0.002	0	-0.005	-0.007	-0.001	-0.003	-0.002	-0.003	-0.003	-0.003	-0.002	-0.003	-0.003	-0.002	-0.004	-0.003	-0.004	0.005	-0.004	0.005	-0.002	-0.001	-0.003	0.009	-0.006	-0.002	-0.001	-0.004	0.11	0.032	-0.001	-0.003	-0.002	-0.005	-0.001	-0.004	0.001	-0.004	-0.002	-0.002	0.013	0	0.005	-0.003	-0.002	0.03	0.016	-0.009	-0.002	0.028	-0.025	0.024	0.039	-0.003	-0.014	-0.002	-0.004	-0.001	-0.007	-0.002	-0.004	-0.004	-0.001	-0.014	-0.001	-0.003	-0.002	-0.002	0.014	-0.002	0.169	-0.007	0.009	-0.003	-0.002	-0.004	0.015	-0.001	0.034
munition	-0.001	0.001	-0.003	-0.003	-0.009	-0.001	-0.002	0	-0.001	-0.01	-0.007	-0.003	0.025	-0.001	-0.005	0.017	-0.001	0	-0.001	-0.008	-0.004	-0.006	-0.002	0.118	0.006	0.001	-0.003	-0.004	-0.004	0	0.028	0.024	-0.002	-0.005	-0.001	0	0	0.006	0	-0.002	0.003	-0.003	0.001	-0.001	-0.003	-0.002	-0.006	-0.005	-0.012	-0.003	0.015	-0.011	-0.002	-0.008	0.002	-0.002	-0.008	-0.001	0.01	-0.004	-0.003	-0.003	-0.001	-0.004	-0.003	-0.002	-0.002	0.03	-0.009	-0.002	0.007	-0.002	0	-0.005	-0.007	-0.001	-0.003	-0.002	-0.003	-0.003	-0.003	-0.002	-0.003	-0.003	-0.002	-0.004	-0.003	-0.004	0.005	-0.004	0.005	-0.002	-0.001	-0.003	0.009	-0.006	-0.002	-0.001	-0.004	0.11	0.032	-0.001	-0.003	-0.002	-0.005	-0.001	-0.004	0.001	-0.004	-0.002	-0.002	0.013	0	0.005	-0.003	-0.002	0.03	0.016	-0.009	-0.002	0.028	-0.025	0.024	0.039	-0.003	-0.014	-0.002	-0.004	-0.001	-0.007	-0.002	-0.004	-0.004	-0.001	-0.014	-0.001	-0.003	-0.002	-0.002	0.014	-0.002	0.169	-0.007	0.009	-0.003	-0.002	-0.004	0.015	-0.001	0.034
loan	-0.001	-0.004	-0.004	-0.014	-0.015	-0.002	-0.004	-0.001	0.002	-0.014	-0.011	0.01	-0.005	-0.002	0.027	-0.004	0.017	-0.008	-0.002	-0.004	0.054	-0.008	0.008	0.02	-0.006	-0.004	-0.002	-0.001	0.023	0	-0.008	-0.001	-0.002	-0.008	0.009	-0.001	-0.001	0.01	-0.004	-0.003	0.021	-0.003	0.004	-0.001	-0.004	-0.003	0.004	0.011	-0.018	-0.005	-0.008	-0.005	0.022	-0.009	0.038	0.006	-0.012	-0.002	0.002	0.005	-0.004	0.099	-0.002	-0.014	-0.002	-0.002	0.004	-0.002	-0.013	-0.003	-0.004	-0.003	0	-0.007	0.009	-0.001	0.222	-0.003	0	0.015	-0.005	-0.003	-0.004	-0.005	-0.005	0.007	0.004	-0.01	-0.004	0.036	0.001	0.001	-0.002	-0.003	0.002	-0.009	-0.003	-0.001	-0.006	0.006	0.012	-0.002	-0.005	0.07	-0.007	-0.002	-0.006	-0.002	-0.005	-0.003	-0.003	0.061	-0.004	-0.005	-0.005	0	0.11	0.033	-0.013	-0.003	-0.001	-0.032	0.045	-0.002	-0.005	-0.019	0	-0.007	0.016	-0.011	0.019	-0.003	-0.002	0.001	-0.022	-0.001	-0.004	-0.003	-0.002	-0.004	0.054	0.011	-0.011	-0.006	0.001	0.166	-0.005	-0.003	-0.002	0.004
macroeconomics	-0.001	-0.003	-0.003	-0.01	-0.011	-0.001	-0.004	0	-0.001	-0.011	-0.008	0	-0.003	-0.001	-0.005	-0.003	-0.001	0.005	-0.001	0.002	0.003	-0.006	-0.002	-0.003	-0.006	-0.003	-0.004	-0.002	0.045	0	-0.006	-0.001	-0.002	-0.005	-0.001	0	-0.001	-0.002	-0.003	-0.002	0.044	-0.003	0	-0.001	-0.003	-0.002	0.001	0.015	-0.013	-0.003	-0.005	-0.012	0.033	-0.009	0.051	-0.002	-0.009	-0.001	0.005	-0.008	-0.003	0.157	-0.001	-0.01	-0.003	-0.002	0.017	-0.002	-0.01	-0.002	-0.003	-0.002	0	-0.005	-0.008	-0.001	0.101	-0.002	-0.004	0.048	-0.003	-0.002	-0.003	-0.003	-0.004	-0.002	0	-0.004	-0.003	-0.005	0.007	-0.002	-0.001	-0.003	0.015	-0.006	-0.005	-0.001	0.007	-0.005	-0.003	-0.001	0.012	-0.002	-0.006	-0.002	-0.004	-0.003	0.017	0.007	-0.002	0.089	-0.005	-0.005	-0.004	-0.002	0.115	0.004	-0.01	-0.002	-0.002	-0.03	0.029	-0.002	-0.003	-0.014	0.002	-0.005	-0.002	-0.008	0.014	-0.004	-0.004	-0.003	-0.016	-0.001	-0.003	-0.002	-0.002	-0.003	-0.002	-0.002	-0.008	-0.004	-0.004	-0.002	-0.005	-0.004	-0.001	-0.002
