Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79
anti	-0.02	-0.006	-0.012	-0.03	0.009	-0.012	-0.015	-0.015	0.269	-0.056	0.093	0.03	-0.012	0.047	-0.023	0.012	-0.021	-0.016	0.073	-0.009	-0.012	-0.03	-0.024	-0.004	-0.002	0.001	-0.009	-0.015	-0.005	0.284	-0.006	-0.033	-0.009	-0.004	0.136	-0.008	-0.01	-0.022	-0.008	0.009	0.387	-0.044	-0.005	0.008	-0.004	-0.044	-0.007	-0.008	-0.004	-0.013	-0.019	-0.003	0.042	-0.004	-0.023	0.021	-0.005	-0.022	-0.064	-0.017	-0.036	0.134	-0.018	-0.026	-0.001	-0.012	-0.023	-0.011	-0.003	-0.002	-0.01	-0.009	-0.003	-0.011	0.031	-0.01	-0.004	-0.011	-0.027	-0.073
dumping	-0.023	-0.006	-0.012	-0.03	0.008	-0.013	-0.014	-0.015	0.279	-0.055	0.074	0.027	-0.013	0.047	-0.022	-0.011	-0.018	-0.015	0.075	-0.009	-0.012	-0.031	-0.022	-0.013	-0.002	0.001	-0.009	-0.02	-0.004	0.292	-0.006	-0.031	-0.009	-0.003	0.132	-0.01	-0.013	-0.022	-0.008	0.003	0.395	-0.044	-0.005	0.009	-0.005	-0.044	-0.007	-0.008	-0.004	-0.013	-0.021	-0.003	0.029	-0.002	-0.032	0.021	-0.005	-0.022	-0.063	-0.017	-0.036	0.134	-0.018	-0.026	-0.001	-0.012	-0.021	-0.017	-0.003	-0.002	-0.01	-0.008	-0.016	-0.011	0.033	-0.009	-0.004	-0.011	-0.027	-0.073
peninsular	-0.003	-0.002	-0.003	-0.008	-0.003	0.009	-0.003	-0.004	0.014	-0.013	0.001	-0.002	-0.005	-0.002	-0.005	-0.003	0.003	-0.007	-0.006	-0.002	-0.003	-0.007	-0.008	-0.004	-0.001	0.003	-0.002	0.004	-0.002	0.027	-0.001	-0.008	-0.003	-0.004	0.01	-0.002	-0.002	0.001	-0.003	-0.003	-0.004	-0.01	0.009	-0.004	-0.002	0.056	-0.002	-0.005	-0.002	-0.003	-0.005	-0.002	0	-0.005	-0.007	-0.003	-0.001	-0.005	0.005	-0.005	-0.003	0.008	-0.004	-0.005	-0.001	-0.003	-0.01	-0.004	-0.001	0.004	-0.003	-0.002	-0.004	-0.003	-0.004	-0.002	-0.001	-0.005	-0.006	-0.011
malaysia	-0.005	-0.003	-0.004	-0.009	-0.004	0.013	-0.005	-0.005	0.046	-0.018	0.025	-0.003	-0.006	-0.003	-0.007	-0.004	-0.008	-0.009	0.017	-0.003	-0.004	-0.01	-0.011	-0.005	-0.001	0	-0.003	0.001	-0.003	0.073	-0.002	-0.011	-0.003	-0.005	0.087	-0.004	-0.003	-0.003	-0.004	-0.004	-0.005	-0.014	0.006	-0.006	-0.003	0.035	-0.003	-0.007	-0.002	-0.004	-0.007	-0.003	0.006	-0.007	-0.01	0.003	-0.002	-0.007	-0.005	-0.007	-0.007	0.027	-0.007	-0.008	-0.001	-0.004	-0.011	-0.005	-0.001	0.001	0.01	-0.003	-0.005	-0.001	0.003	-0.003	-0.001	-0.006	-0.008	-0.019
vehicle	-0.015	-0.004	-0.008	0.003	0	-0.009	0.048	0.017	-0.03	-0.041	-0.006	-0.005	-0.014	-0.007	-0.015	-0.007	-0.018	-0.011	0.036	-0.005	-0.009	-0.021	-0.013	-0.001	-0.002	0.308	-0.008	-0.005	0.004	0.02	-0.005	0.002	0.038	0.575	-0.008	0.087	-0.007	0.002	-0.009	0.015	0.002	-0.032	-0.003	-0.01	0.044	-0.034	-0.006	0	-0.004	-0.011	-0.011	-0.002	-0.007	-0.009	0.005	0.014	-0.004	-0.015	0.045	0.017	-0.024	-0.022	0.02	-0.022	0.053	-0.009	-0.039	-0.009	-0.002	0.015	-0.009	-0.005	-0.013	0.034	0.035	0.016	-0.003	-0.009	-0.021	-0.044
part	0.008	0.001	-0.005	-0.003	-0.004	-0.006	0.003	-0.006	-0.011	-0.02	-0.001	-0.004	-0.008	-0.003	-0.008	-0.004	-0.01	-0.012	0.008	0.002	-0.005	-0.01	-0.003	-0.008	-0.001	0.124	-0.004	0.013	-0.004	0.037	-0.002	-0.005	-0.005	0.326	0.003	0.022	-0.006	0.008	-0.005	-0.006	-0.001	-0.018	0.003	-0.006	0	-0.02	-0.003	-0.007	-0.003	-0.006	-0.009	-0.004	0.002	-0.002	-0.001	0.001	-0.002	-0.009	0.035	0.008	-0.009	-0.009	0.005	-0.012	-0.001	-0.005	-0.021	-0.001	-0.001	0.037	-0.005	-0.004	-0.007	0.012	0.012	0.007	-0.002	-0.008	-0.011	-0.027
far	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
east	-0.016	-0.006	-0.005	-0.019	-0.008	-0.009	0.001	-0.004	0.087	0.036	-0.006	-0.006	-0.012	-0.005	0.015	-0.007	0.023	-0.018	-0.028	0.016	-0.007	0.004	-0.022	-0.011	-0.002	-0.006	0.019	-0.03	-0.006	0.005	-0.004	-0.022	-0.007	-0.01	-0.009	-0.009	-0.009	-0.014	-0.007	-0.009	0.003	-0.023	-0.001	-0.012	-0.006	-0.029	-0.005	-0.014	-0.004	0.799	-0.013	-0.005	0.016	0.111	-0.014	-0.011	-0.003	0.012	-0.038	-0.011	-0.018	-0.018	0.008	-0.018	-0.002	0.009	-0.036	-0.002	-0.002	-0.005	-0.007	-0.006	-0.01	-0.003	-0.011	-0.006	-0.003	-0.012	-0.015	-0.032
sound	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
reproduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
equipment	-0.01	-0.007	0.013	-0.019	0.021	0.022	0.007	-0.011	-0.023	-0.015	0.006	0.027	0.035	-0.004	-0.015	-0.008	-0.036	-0.017	0.153	0.009	-0.004	-0.008	-0.02	0.022	-0.002	0.116	-0.007	0.009	0.014	0.033	-0.004	-0.01	0.002	0.093	0.004	0.012	-0.003	0.009	0.002	-0.008	0.006	-0.031	0.007	-0.011	0.005	-0.033	-0.006	0.004	-0.002	-0.011	0.006	-0.004	0.015	-0.004	-0.016	0.019	0.004	0.107	0.024	0.009	-0.027	-0.013	0.018	-0.018	0.026	0.008	-0.009	-0.005	-0.002	0.128	0.014	-0.007	-0.002	-0.006	0.008	-0.007	-0.003	-0.004	-0.02	-0.05
intra	-0.014	-0.002	-0.008	-0.018	-0.008	0.027	0.034	-0.003	-0.041	-0.034	0.008	-0.007	-0.013	-0.005	-0.013	-0.008	-0.005	-0.005	0.022	-0.007	-0.005	-0.011	-0.021	0.001	-0.002	0.001	-0.006	-0.008	0.013	-0.012	-0.003	0.015	0.015	0.025	-0.01	-0.007	-0.008	0.006	-0.008	0	-0.006	-0.026	-0.004	-0.008	-0.009	0.206	-0.006	-0.005	-0.005	-0.009	-0.012	0.003	-0.003	-0.011	-0.017	-0.007	0.011	-0.014	0.037	-0.003	-0.021	-0.024	-0.004	-0.019	-0.002	-0.008	-0.036	0.019	-0.002	0.004	-0.008	-0.007	-0.011	0.012	0.013	-0.007	-0.003	-0.014	-0.015	-0.037
france	-0.003	-0.009	-0.011	-0.025	0.01	-0.01	0.014	0	-0.026	-0.061	-0.009	-0.001	0	-0.009	0.023	0.008	-0.01	-0.025	-0.029	-0.008	-0.011	0.016	-0.033	0.014	-0.003	-0.016	0.01	0.038	-0.006	-0.018	-0.005	0.139	-0.004	-0.003	0.005	-0.002	-0.014	0.074	-0.012	0.034	-0.007	0.008	-0.009	-0.003	0.019	0.034	-0.007	-0.016	-0.004	-0.015	0.033	-0.006	-0.01	-0.015	0.024	-0.006	0.004	-0.023	-0.025	0.009	0.009	-0.036	-0.002	0.144	-0.003	-0.012	-0.038	-0.011	-0.003	0.005	-0.012	-0.008	-0.001	0.015	0.029	-0.01	-0.004	-0.021	-0.028	0.007
convention	-0.011	0.013	0.09	0.097	-0.004	-0.006	-0.003	0.208	-0.027	-0.026	-0.004	0.039	0.004	-0.004	-0.011	-0.005	-0.02	-0.013	-0.013	0.072	-0.005	0.035	-0.016	0.003	-0.001	-0.004	0.011	0.015	-0.004	-0.008	0.012	-0.009	0.003	-0.006	-0.004	0.067	0.003	0.054	0.001	0.002	0.004	-0.02	-0.004	0.017	-0.006	-0.021	0.015	0.007	-0.001	0.004	0.009	0.052	0.046	0.006	-0.012	0.054	0.012	0	-0.014	0.025	0.003	-0.013	0.003	0.016	-0.001	0.057	-0.028	0.013	-0.001	0.023	-0.005	0.027	0.009	-0.004	0.007	-0.004	0.054	-0.009	-0.013	-0.021
chemical	-0.022	0.003	-0.012	-0.02	0.005	-0.009	-0.013	-0.001	-0.014	-0.048	-0.009	-0.001	-0.011	-0.002	-0.02	-0.011	-0.046	-0.021	-0.003	-0.008	-0.011	-0.02	-0.031	-0.013	-0.002	0.007	-0.01	-0.021	0.005	0.032	-0.003	-0.009	-0.008	-0.011	-0.012	0.016	-0.008	-0.015	-0.01	-0.005	0.072	-0.043	-0.008	-0.015	-0.004	-0.042	-0.001	-0.007	0.035	-0.012	0.015	-0.006	-0.008	-0.022	-0.03	-0.012	-0.005	-0.02	0.213	0.006	-0.018	0.089	0.192	-0.026	-0.003	-0.009	-0.047	-0.015	-0.003	-0.014	-0.01	-0.008	-0.01	-0.002	0.034	-0.006	-0.004	-0.017	-0.027	-0.017
quota	-0.052	0.055	0.036	0.074	-0.022	-0.029	-0.027	-0.032	-0.115	0.026	-0.017	-0.009	-0.023	0.001	-0.044	-0.023	-0.004	0.034	-0.017	-0.019	-0.024	-0.057	-0.071	-0.036	-0.005	-0.029	-0.009	-0.078	-0.01	0.005	-0.012	-0.019	-0.022	-0.035	-0.016	-0.027	-0.029	0.211	-0.024	-0.025	-0.025	-0.088	-0.004	-0.023	-0.023	-0.066	0.01	0.002	-0.011	-0.024	-0.003	-0.018	-0.014	0.005	-0.066	-0.034	-0.01	-0.042	-0.119	-0.024	-0.047	-0.022	-0.052	0.393	-0.006	-0.022	-0.064	-0.033	-0.006	-0.026	-0.018	-0.019	-0.032	0.033	-0.013	-0.008	0.004	-0.007	-0.056	0.302
ozone	-0.007	-0.002	-0.003	0.011	0.009	-0.003	-0.003	0	-0.016	-0.012	-0.002	0.003	-0.002	-0.002	-0.006	-0.003	0.002	-0.007	-0.013	-0.002	-0.003	-0.008	-0.006	-0.004	-0.001	0.002	-0.003	0	-0.002	-0.004	-0.001	0.017	-0.003	0.014	-0.003	0.038	-0.003	0.009	-0.003	0.004	0.008	-0.011	-0.002	-0.003	0.008	-0.011	-0.002	-0.005	0.02	0	0.05	-0.002	-0.002	-0.001	-0.008	0.002	-0.001	-0.001	0.022	0.043	-0.009	-0.008	0.008	-0.005	-0.001	-0.003	-0.012	-0.004	-0.001	0.003	-0.003	-0.002	0.007	-0.003	0.029	-0.002	0.108	-0.005	-0.006	0.013
derogation	-0.022	-0.004	0.013	0.001	-0.005	0.003	0.008	-0.014	-0.046	-0.025	0	-0.012	-0.014	-0.004	-0.013	-0.006	0.019	0.019	0.04	-0.006	-0.01	-0.02	-0.032	-0.003	-0.003	0.001	-0.002	-0.021	0.001	-0.016	-0.005	0.047	0.038	0.033	-0.007	0.035	-0.015	-0.014	-0.013	0.172	-0.016	-0.034	-0.007	0.019	-0.01	-0.001	0.023	0.014	0.001	-0.012	0.028	-0.004	-0.008	0.028	-0.025	-0.007	-0.006	-0.02	0.034	0.006	0.06	-0.029	0.036	-0.018	-0.003	-0.01	-0.031	0.001	0.019	-0.003	-0.01	-0.009	-0.003	0.04	0.013	-0.01	-0.002	-0.003	-0.028	0.079
medical	-0.01	-0.003	0.004	-0.01	0.009	0.015	-0.005	-0.006	-0.024	-0.014	-0.003	0.007	-0.007	-0.003	-0.008	-0.004	-0.02	-0.01	0.018	-0.001	-0.004	0.001	-0.012	-0.004	-0.001	0.023	0.007	0	-0.003	-0.006	0	-0.003	-0.002	0.069	0	0	0.008	-0.007	-0.004	-0.005	-0.001	-0.016	-0.003	-0.006	-0.005	-0.004	-0.003	-0.008	0.012	-0.005	0.186	-0.003	-0.004	-0.011	-0.009	0.004	-0.002	-0.008	0.073	0.009	-0.013	-0.013	0.007	-0.01	-0.001	-0.004	-0.015	0.007	-0.001	0.029	-0.004	-0.004	0.007	-0.005	0.009	0.038	-0.002	-0.007	-0.01	-0.023
surgical	-0.006	-0.002	0.012	-0.004	0.021	0.023	-0.003	-0.003	-0.014	-0.009	-0.002	0.007	-0.004	-0.002	-0.005	-0.002	-0.007	-0.006	0.014	-0.002	-0.002	-0.007	-0.006	-0.002	-0.001	0.014	-0.002	0.003	-0.002	-0.004	-0.001	0.004	-0.002	0.067	-0.003	0	-0.003	-0.005	-0.002	-0.003	0.005	-0.009	-0.002	-0.002	-0.003	-0.01	-0.002	-0.005	0.023	-0.003	0.099	-0.002	-0.002	-0.006	-0.007	0.007	-0.001	-0.005	0.031	0.023	-0.008	-0.008	0.015	-0.006	-0.001	-0.002	-0.006	-0.004	-0.001	0.019	-0.002	-0.002	0.003	-0.003	0.002	-0.002	-0.001	-0.004	-0.006	-0.009
meat	-0.025	-0.011	-0.009	-0.031	-0.012	-0.016	-0.014	-0.016	-0.062	-0.037	-0.008	-0.009	-0.006	0.001	-0.024	-0.013	-0.002	0.009	-0.036	-0.011	-0.012	-0.002	-0.04	-0.021	0.004	-0.017	0.001	0.078	0.012	-0.018	0.027	-0.005	-0.006	-0.012	-0.017	-0.018	-0.016	-0.027	-0.007	-0.013	-0.016	-0.046	-0.007	0.005	-0.017	0.31	-0.002	-0.014	-0.006	-0.013	-0.024	-0.006	-0.012	-0.023	-0.037	-0.021	-0.006	-0.026	0.022	0.013	0.031	-0.032	-0.031	-0.032	-0.004	-0.008	-0.051	-0.02	0.004	-0.017	-0.009	-0.011	-0.019	-0.009	0	-0.008	-0.005	-0.012	-0.023	-0.001
certificate	-0.031	-0.011	-0.013	-0.026	-0.015	-0.016	-0.011	-0.015	-0.081	-0.061	-0.005	-0.011	0.017	0.012	-0.024	-0.014	-0.021	0.001	-0.009	-0.012	-0.014	-0.03	-0.043	-0.023	-0.003	-0.022	0.012	-0.04	-0.01	0.022	-0.002	-0.005	-0.01	-0.012	-0.008	-0.018	-0.016	-0.027	-0.008	-0.017	-0.019	-0.055	0.003	0.003	-0.017	0.465	-0.01	-0.021	-0.006	-0.013	-0.021	-0.009	-0.001	-0.016	-0.038	-0.017	-0.006	-0.026	0.093	0.011	-0.037	-0.042	-0.029	-0.004	-0.004	-0.006	-0.051	-0.02	-0.004	-0.014	-0.009	-0.012	-0.018	-0.009	-0.008	-0.011	-0.005	-0.014	-0.03	-0.075
type	0.011	0.025	-0.002	-0.003	0.009	0.017	-0.003	-0.003	-0.012	-0.012	-0.002	-0.002	-0.001	-0.002	-0.003	-0.002	-0.01	-0.006	0.019	-0.002	0.002	0.003	-0.007	0.043	-0.001	0.004	-0.002	0.007	-0.002	-0.004	-0.001	0.018	0.034	0.008	-0.003	0.01	0.105	-0.003	-0.002	0.023	0.067	-0.009	-0.002	-0.004	-0.003	-0.01	-0.002	-0.005	-0.001	-0.003	0.007	-0.002	-0.002	-0.006	-0.003	-0.004	-0.001	-0.005	0.006	0.007	-0.008	-0.008	0.001	-0.006	0.005	-0.002	-0.013	-0.004	-0.001	0	-0.002	-0.002	-0.003	-0.003	0.022	0.015	-0.001	-0.004	-0.006	0.001
business	0.031	0.027	-0.004	-0.002	0.01	0.014	-0.003	-0.005	-0.017	-0.017	-0.003	-0.003	-0.003	-0.003	-0.004	-0.003	0.007	-0.008	0.03	-0.003	0.001	0.007	-0.002	0.041	-0.001	0	-0.003	0.005	-0.003	-0.005	-0.002	0.031	0.022	0.003	-0.001	0.005	0.184	-0.005	-0.003	0.049	0.056	-0.011	-0.003	-0.006	-0.004	-0.014	-0.002	-0.007	0.016	-0.004	0.002	-0.003	-0.003	-0.001	-0.006	0.003	-0.001	-0.007	-0.003	0.002	-0.011	-0.011	0.005	-0.008	0.003	-0.004	-0.017	0.021	-0.001	0.003	-0.003	-0.003	0.001	-0.004	0.041	0.009	-0.001	-0.006	-0.006	-0.004
university	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
technological	-0.002	-0.005	-0.006	0.075	-0.006	0.02	0.021	-0.009	-0.039	-0.035	0.01	-0.006	0.041	0.045	-0.012	-0.006	-0.026	-0.015	0.003	-0.006	-0.007	0.018	-0.018	0.009	-0.001	0.104	-0.005	0.012	0.002	0.001	-0.001	-0.014	-0.005	0.187	0.008	0.015	0.252	-0.006	-0.007	-0.007	0.025	-0.023	-0.005	0	-0.009	-0.028	-0.005	-0.004	0.014	-0.007	0.003	0.018	0.006	0.002	-0.003	-0.002	0.014	-0.012	0.078	-0.004	-0.017	-0.021	0.008	-0.017	-0.002	-0.007	-0.032	0.029	-0.002	0.069	-0.007	0.001	-0.01	-0.006	0.016	0.006	0.026	-0.012	-0.016	-0.042
development	0.069	0.018	0.068	0.091	-0.004	0.005	0.006	0.013	-0.074	-0.063	0.011	0.003	0.023	0.027	0.514	0	-0.06	-0.001	-0.016	0.213	-0.013	0.08	-0.036	0.007	-0.003	-0.018	0.064	0.004	0.008	-0.01	-0.004	0.006	-0.008	-0.016	-0.007	-0.002	0.18	-0.024	-0.009	-0.005	0.017	-0.044	-0.008	0.003	-0.014	-0.051	0.014	-0.002	0.008	-0.007	-0.017	0.022	-0.005	0.052	0.158	-0.011	0.013	-0.02	-0.062	-0.011	-0.01	-0.037	-0.004	-0.011	-0.003	-0.01	-0.064	0.108	-0.003	0.012	-0.006	0.033	-0.002	-0.011	0.015	0.008	0.026	0.028	-0.03	-0.02
dissemination	0.019	-0.003	0.002	-0.01	0.01	-0.004	0.045	-0.004	-0.014	-0.018	0	0.016	0.003	-0.003	0.008	0	-0.012	-0.009	0.057	-0.003	-0.002	0.01	-0.007	0.037	-0.001	0.018	-0.003	0.012	-0.003	-0.005	0.032	-0.006	-0.003	0.044	-0.004	0.026	0.066	0.033	-0.004	-0.005	0.03	-0.014	-0.003	-0.006	-0.005	-0.01	-0.003	-0.005	0.005	-0.004	0.003	0.006	-0.001	-0.006	0.006	0.027	0.045	-0.007	0.001	0.001	-0.004	-0.01	-0.002	-0.008	-0.001	-0.004	-0.018	0.018	-0.001	0.122	-0.004	-0.003	0.018	-0.004	-0.003	0.011	-0.001	-0.006	-0.008	-0.019
shareholding	0.009	-0.002	0.003	0	0.055	0.019	-0.004	-0.004	-0.013	-0.015	0.012	-0.003	-0.005	-0.002	-0.005	0	-0.016	-0.001	0.009	0.044	-0.003	-0.003	-0.002	0.071	-0.001	-0.005	-0.003	0	0.058	-0.004	-0.001	0.023	-0.003	-0.004	-0.004	-0.004	0.062	-0.006	-0.003	-0.004	0.015	-0.004	-0.002	-0.005	-0.002	0.013	-0.002	-0.006	-0.002	-0.003	-0.005	0	-0.002	-0.004	0.082	0.036	-0.001	0.005	-0.013	-0.001	-0.009	-0.009	0.01	-0.005	-0.001	-0.003	-0.015	-0.004	-0.001	-0.004	-0.003	-0.002	-0.002	-0.003	-0.001	0.011	0.008	0.004	-0.007	-0.011
eaec	0.014	0.032	-0.005	0.157	-0.005	0	0.006	0.001	-0.024	-0.023	0.007	-0.004	0.257	0.065	-0.008	-0.003	-0.023	-0.011	0.012	-0.004	-0.004	0.034	-0.013	0.01	-0.001	-0.006	-0.004	0.01	0.033	-0.007	0.005	0.001	0.007	-0.007	0.116	0.01	0.192	-0.009	-0.004	0.009	0.054	-0.015	0.004	0.033	-0.005	-0.017	0.032	0.058	-0.002	-0.005	0.003	0.012	0.007	0.009	0.003	-0.002	-0.002	-0.008	-0.023	0	-0.014	-0.014	0	-0.011	-0.001	-0.005	-0.023	0.002	-0.001	0.002	-0.004	0.008	-0.006	-0.005	-0.002	-0.004	-0.002	0.011	-0.01	-0.028
association	-0.017	0.227	0.007	0.382	-0.01	-0.01	-0.011	0.01	-0.05	-0.017	-0.002	-0.008	0.037	0.01	-0.016	-0.009	-0.024	0.028	0.001	0.014	-0.009	0.023	-0.029	-0.002	-0.002	-0.014	0.005	0.045	-0.005	-0.012	-0.004	-0.024	-0.003	0	0.11	-0.01	0.028	-0.012	-0.009	-0.006	-0.011	-0.037	-0.006	0.008	-0.009	-0.031	0.084	0.014	-0.001	0.014	0.003	0.02	-0.008	0.108	-0.009	0.031	-0.004	-0.017	-0.046	-0.005	-0.025	-0.022	-0.013	-0.01	-0.002	0.021	-0.033	-0.003	0.015	-0.004	-0.005	-0.002	0.036	-0.006	-0.009	0.008	-0.003	0.066	-0.022	-0.032
protocol	-0.005	0.068	-0.004	0.379	-0.007	-0.008	-0.009	0.027	-0.037	-0.03	-0.005	0.013	0.016	0.023	-0.011	0.003	-0.042	0.016	-0.007	-0.006	-0.007	-0.005	-0.021	-0.001	-0.001	-0.007	0.02	0.009	-0.003	0.018	0.012	-0.014	0.001	0.004	-0.001	-0.001	0.013	-0.003	-0.004	-0.008	-0.008	-0.025	-0.005	0.04	-0.009	-0.027	0.051	0.014	-0.004	0.001	-0.012	-0.005	-0.003	0.09	0.001	0.024	-0.003	-0.011	-0.033	-0.008	-0.022	-0.02	-0.001	0.029	-0.002	0.005	-0.028	-0.002	-0.002	-0.009	-0.007	0	-0.01	-0.007	-0.01	-0.006	-0.002	0.028	-0.015	-0.038
agreement	-0.03	0.142	0.032	0.765	-0.012	0.012	0.031	0.19	-0.105	-0.059	-0.005	0.015	0.086	0.068	-0.033	-0.008	-0.088	0.063	0.017	0.058	-0.02	0.067	-0.06	0.011	-0.004	-0.02	0.025	0.019	0.018	0.051	-0.004	-0.031	0.018	-0.002	0.077	-0.014	0.071	0.002	-0.01	-0.014	0.034	-0.072	-0.009	0.07	0.067	-0.07	0.076	0.029	0.034	-0.006	-0.006	0.017	-0.001	0.155	0.013	0.051	-0.008	0.003	-0.098	0.018	-0.05	-0.034	-0.023	0.012	-0.004	0.017	-0.085	0.001	0.003	-0.004	-0.009	0.022	0.01	-0.007	-0.025	0.012	0.058	0.089	-0.047	-0.069
enlargement	0.014	0.016	-0.004	0.039	-0.004	0.004	0.015	0.009	-0.02	-0.014	-0.003	0.002	0.013	-0.003	0.021	-0.004	-0.01	0.028	-0.005	0.01	-0.004	0.062	-0.009	0.002	-0.001	-0.003	-0.001	0.003	0.011	0	-0.002	-0.002	0.06	0	0.02	-0.005	0.015	-0.008	-0.004	0.001	-0.005	-0.014	-0.003	0.001	-0.005	-0.005	0.002	0.032	0.013	-0.002	-0.008	-0.003	-0.001	0.195	0.054	0.009	0.002	-0.006	-0.018	-0.006	-0.006	-0.011	-0.006	-0.01	-0.001	-0.004	-0.016	0.121	-0.001	0.004	-0.004	-0.003	-0.006	0.006	-0.002	0.001	-0.001	-0.006	-0.01	-0.012
hungary	0	0.059	-0.006	0.047	-0.002	-0.006	0.029	0	-0.027	-0.001	0	-0.005	-0.01	-0.004	-0.003	0	-0.005	0.083	-0.003	-0.005	-0.006	0.002	-0.017	-0.006	-0.001	-0.004	-0.001	0.013	0.005	-0.008	-0.003	-0.01	-0.003	-0.006	-0.007	-0.006	-0.007	-0.011	-0.004	-0.007	-0.005	-0.022	-0.004	0.009	0.001	0.024	-0.002	0.219	-0.003	-0.007	0.003	-0.004	-0.005	0.07	0.004	0.002	-0.002	0.01	-0.014	-0.011	0.006	-0.009	-0.008	-0.011	-0.001	-0.003	-0.02	0.008	-0.001	0	-0.006	0.017	-0.007	-0.006	-0.002	-0.005	-0.002	-0.009	-0.012	0.007
uruguay	-0.005	-0.002	-0.002	0.023	-0.002	-0.003	-0.003	-0.003	-0.013	0	-0.002	-0.002	-0.001	-0.002	-0.002	-0.002	-0.002	-0.004	-0.01	-0.002	-0.002	-0.006	-0.003	-0.004	0	-0.004	-0.002	-0.007	-0.002	-0.003	-0.001	-0.003	0.005	-0.003	-0.003	-0.003	-0.003	-0.004	-0.002	0	-0.003	-0.009	-0.002	-0.004	-0.003	0.054	-0.002	0.001	-0.001	-0.003	-0.004	-0.002	0	0.028	-0.006	-0.003	-0.001	-0.004	0.005	-0.004	-0.007	-0.007	-0.005	-0.001	-0.001	-0.002	-0.007	-0.003	-0.001	-0.003	-0.002	-0.002	-0.003	-0.002	0.001	-0.002	-0.001	-0.004	-0.005	-0.011
round	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
external	-0.009	0.152	0.034	0.583	-0.013	0	0.033	0.114	-0.094	-0.055	-0.005	0.015	0.075	0.088	0.004	-0.002	-0.03	0.014	0.011	0.088	-0.015	0.097	-0.05	0.016	-0.004	-0.026	0.057	0.015	0.001	0.197	-0.001	-0.024	0.033	0.005	0.121	0.001	0.061	-0.008	0.004	-0.009	-0.012	-0.066	-0.004	0.039	-0.017	-0.056	0.07	0.021	0.027	-0.007	-0.001	0.001	0.003	0.194	0.029	0.003	-0.001	-0.016	-0.081	0.024	-0.044	-0.049	-0.034	0.011	-0.005	0.04	-0.066	0.036	-0.005	-0.006	0.009	0.016	-0.022	-0.014	0	0.026	0.011	0.092	-0.042	-0.051
relation	-0.008	0.153	0.042	0.582	-0.012	0.002	0.034	0.054	-0.094	-0.055	-0.003	0.015	0.074	0.088	0.002	0.005	-0.029	0.011	0	0.103	-0.013	0.108	-0.051	0.022	-0.004	-0.026	0.072	0.017	0.001	0.197	-0.001	-0.026	0.033	0.005	0.121	0.001	0.063	-0.014	0.008	-0.01	-0.011	-0.065	-0.004	0.039	-0.017	-0.061	0.07	0.021	0.026	-0.007	0.001	0.001	0.003	0.186	0.027	0.003	0.006	0.008	-0.081	0.018	-0.044	-0.048	-0.034	0.011	-0.005	0.05	-0.067	0.049	-0.005	-0.006	0.015	0.016	-0.019	-0.014	0.004	0.026	0.011	0.102	-0.042	-0.05
