Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79
finland	-0.005	-0.006	-0.008	-0.012	-0.004	-0.009	-0.007	0.014	-0.024	-0.036	-0.001	-0.007	-0.006	-0.006	0.038	0.025	0.002	0.051	-0.016	-0.006	-0.008	0.002	0.061	-0.009	-0.002	-0.008	-0.007	0.005	0	-0.011	-0.003	0.027	0.03	-0.005	-0.006	0	-0.008	0	-0.008	0.005	-0.002	0.077	0.001	-0.011	0.017	-0.01	-0.005	0.027	-0.004	-0.009	-0.012	-0.005	-0.006	0.019	0.005	-0.006	-0.003	-0.014	-0.013	0.029	0.012	-0.018	-0.013	-0.011	-0.002	-0.008	0.136	-0.009	-0.002	-0.007	-0.008	-0.001	0.004	0	-0.017	-0.006	0.004	-0.013	-0.018	-0.003
veal	-0.006	-0.004	0.019	-0.028	0.001	-0.014	-0.01	-0.015	0.022	-0.04	0.073	-0.008	-0.019	0.003	-0.018	-0.011	0.076	0	0.036	-0.009	-0.009	0.101	-0.021	-0.018	-0.002	-0.017	-0.011	-0.041	0.031	-0.017	-0.005	-0.002	0.014	-0.011	-0.014	-0.014	-0.005	-0.023	-0.011	-0.01	-0.015	0.044	0.086	-0.018	-0.014	0.114	-0.006	-0.006	-0.006	-0.014	-0.019	-0.007	-0.009	-0.002	-0.023	-0.016	-0.005	-0.02	-0.023	0.017	-0.024	-0.032	-0.021	-0.028	-0.003	-0.012	-0.008	-0.014	-0.003	-0.012	-0.009	-0.01	-0.015	0.003	0.014	0	-0.004	-0.006	-0.025	0.042
turkey	-0.006	-0.003	0.019	0.014	-0.005	0.01	0.001	-0.006	0	-0.013	0.026	0.003	-0.007	0.006	-0.007	-0.004	-0.002	0.079	-0.008	0.001	-0.004	0.04	-0.013	0	-0.001	-0.005	0.02	0	-0.003	0.006	0.013	-0.003	-0.002	-0.007	0.027	-0.006	-0.001	-0.008	-0.004	-0.004	0.031	-0.016	0	-0.005	-0.005	0.021	-0.003	0.005	0.013	-0.005	-0.006	-0.001	-0.004	0.139	0.009	0.002	0.033	0.022	-0.004	-0.005	-0.011	0.005	-0.011	-0.009	-0.001	-0.005	-0.013	0.023	-0.001	-0.004	-0.001	-0.004	-0.006	-0.005	0.004	0.025	-0.002	0.029	-0.01	-0.014
import	-0.11	-0.005	-0.011	-0.061	-0.045	-0.061	-0.055	-0.062	0.195	0.598	0.014	-0.029	-0.033	0.006	-0.096	-0.05	-0.036	-0.016	-0.085	-0.038	-0.049	-0.129	-0.119	-0.075	-0.011	-0.066	-0.019	-0.165	-0.032	0.108	-0.026	-0.138	-0.044	-0.072	0.013	-0.063	-0.06	-0.097	-0.035	-0.052	0.051	-0.136	-0.027	-0.036	-0.059	0.097	-0.016	-0.036	-0.024	0.135	-0.075	-0.034	-0.014	-0.018	-0.143	-0.053	-0.019	-0.086	-0.162	-0.07	-0.109	0.129	-0.116	-0.106	-0.013	-0.035	-0.192	-0.07	-0.013	-0.055	-0.042	-0.042	-0.068	-0.012	-0.066	-0.033	-0.01	-0.049	-0.12	0.021
restriction	-0.037	-0.006	0.021	0.012	-0.006	-0.013	-0.012	-0.021	-0.081	-0.043	-0.01	0.025	0.023	0.035	-0.034	-0.019	-0.012	0.013	0.088	-0.012	0.117	-0.045	-0.028	0.013	-0.004	-0.009	-0.002	-0.009	0	0.186	-0.007	-0.021	-0.012	-0.019	0.031	-0.008	-0.018	-0.021	0.113	-0.008	-0.001	-0.043	-0.002	0.017	-0.017	0.07	-0.009	-0.013	0.01	-0.013	0.004	-0.007	0.021	0.017	-0.05	0.029	-0.009	0.101	-0.018	0.017	-0.046	-0.022	-0.024	-0.035	-0.003	0.079	-0.02	-0.025	0	-0.014	0.08	-0.013	-0.019	0.015	0	-0.01	-0.007	0.02	-0.034	0.128
mollusc	-0.004	-0.004	-0.005	-0.006	-0.005	-0.001	-0.006	-0.004	-0.027	-0.021	0.014	-0.004	0.017	-0.004	-0.006	-0.004	-0.01	0	-0.018	-0.004	-0.004	0.001	-0.015	-0.008	-0.001	-0.006	-0.004	-0.002	-0.004	-0.007	-0.002	-0.014	-0.005	-0.007	-0.006	-0.006	-0.003	-0.009	-0.005	-0.006	-0.001	-0.019	0.005	-0.008	-0.006	0.139	-0.003	-0.009	-0.003	-0.006	0.001	-0.004	0.011	0.007	-0.013	-0.002	-0.002	-0.009	0.042	0.014	-0.011	-0.014	-0.01	0.009	-0.001	-0.005	-0.023	-0.005	-0.001	-0.005	-0.003	-0.004	-0.006	-0.005	-0.008	-0.004	-0.002	-0.008	-0.011	-0.031
risk	-0.012	-0.007	-0.009	-0.022	-0.008	-0.006	-0.011	-0.005	-0.05	-0.045	-0.003	0.007	0	-0.007	-0.011	-0.008	-0.055	-0.007	-0.022	-0.007	-0.008	-0.004	-0.026	-0.008	-0.002	0.006	-0.008	-0.008	0.001	-0.01	0.005	-0.017	-0.007	0.007	-0.011	0.002	-0.005	-0.016	-0.009	-0.011	-0.002	-0.034	-0.005	0	-0.009	0.05	-0.006	0.015	-0.001	-0.011	0.033	-0.007	-0.006	-0.021	-0.01	-0.01	-0.004	-0.016	0.251	-0.005	-0.013	-0.027	0.114	-0.015	-0.002	-0.009	-0.045	-0.009	-0.002	-0.009	-0.009	-0.007	0.006	-0.002	0	-0.007	0.019	-0.015	-0.021	-0.055
originating	-0.046	0.034	-0.005	0.035	-0.012	-0.028	-0.025	-0.023	0.071	0.006	0.039	-0.009	-0.001	0.026	-0.041	-0.022	0.007	0.004	0.037	-0.016	-0.02	-0.051	-0.054	-0.034	-0.001	-0.025	-0.005	-0.042	-0.013	0.284	-0.01	-0.054	-0.019	-0.026	0.058	-0.028	-0.025	-0.044	0.004	-0.017	0.125	-0.059	0.001	-0.004	-0.023	0.085	0.006	-0.003	-0.012	0.214	-0.028	-0.016	0.018	0.055	-0.06	-0.014	0	-0.042	-0.014	-0.019	-0.049	0.032	-0.044	-0.028	-0.006	-0.009	-0.059	-0.028	-0.006	-0.02	-0.007	-0.019	-0.03	-0.014	-0.003	-0.018	-0.001	0.003	-0.054	0.062
product	-0.081	0.043	-0.02	0.015	-0.01	-0.052	-0.05	-0.049	0.053	-0.055	-0.002	-0.014	-0.034	0.026	-0.078	-0.03	0.009	0.029	-0.008	-0.037	-0.045	-0.094	-0.12	-0.069	0.008	0.02	-0.024	0.086	-0.018	0.173	0.002	-0.089	-0.033	-0.04	0.044	-0.038	-0.04	-0.089	-0.028	-0.039	0.048	-0.134	0.013	-0.03	-0.05	0.048	0.011	0.01	0.004	0.085	-0.007	-0.032	-0.012	0.031	-0.115	-0.052	-0.012	-0.086	0.19	-0.042	0.044	0.116	0.076	-0.085	-0.004	-0.025	-0.021	-0.056	-0.002	-0.043	-0.028	-0.039	-0.063	-0.028	-0.001	-0.035	-0.002	0	0.066	0.087
fishery	-0.006	0.016	-0.01	0.085	-0.014	-0.019	-0.019	-0.018	-0.08	-0.085	-0.007	0.002	0.018	0.007	-0.024	-0.017	-0.023	-0.006	-0.016	-0.015	-0.016	-0.029	-0.042	-0.026	-0.004	0.001	-0.004	-0.041	-0.005	-0.015	-0.01	0.073	-0.016	-0.022	-0.023	-0.024	-0.018	0.271	-0.012	-0.021	-0.017	-0.073	-0.01	0.023	-0.022	0.035	0.002	-0.021	-0.006	-0.02	-0.035	0.002	-0.009	0.001	-0.002	-0.018	-0.008	-0.035	-0.02	-0.007	-0.057	-0.059	-0.036	0.614	-0.005	-0.016	-0.074	-0.015	-0.005	0.002	-0.016	-0.014	-0.024	-0.016	-0.006	-0.015	0.008	-0.01	-0.044	-0.061
