Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119
guinea	-0.027	0.014	-0.005	-0.004	-0.007	-0.007	0.024	-0.009	0.019	-0.007	-0.007	0.007	-0.011	-0.004	-0.005	0.046	0.025	-0.004	-0.003	-0.007	-0.006	-0.001	-0.01	0	-0.017	-0.011	-0.007	-0.003	-0.002	-0.015	0.071	-0.005	-0.003	-0.002	0.008	-0.001	-0.002	-0.005	-0.004	-0.006	-0.004	0.009	0.008	0.082	-0.008	-0.021	-0.008	-0.004	-0.004	0.074	-0.002	-0.002	-0.001	0.017	-0.015	-0.002	-0.003	-0.008	-0.001	0.007	-0.004	-0.001	-0.002	0.01	-0.002	-0.003	-0.007	-0.003	-0.005	-0.008	-0.006	-0.002	0.02	-0.001	-0.002	0.015	0.039	-0.003	-0.003	0.016	0.001	-0.007	-0.007	-0.009	-0.011	-0.004	0.003	-0.002	0.019	-0.003	-0.002	0.025	0.006	0.012	-0.005	-0.005	-0.005	0.01	0.006	0.012	-0.005	-0.011	0.002	-0.004	0.012	0.002	0	-0.005	0.002	-0.002	-0.005	-0.008	-0.007	-0.002	0.013	-0.001	-0.002	-0.005	-0.002	0.003
addition	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
comitology	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
conjunctural	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
microorganism	-0.018	-0.003	-0.003	-0.003	-0.004	-0.001	0.008	-0.006	-0.007	0.014	-0.005	-0.003	-0.009	-0.002	-0.003	-0.001	-0.003	-0.002	-0.002	-0.005	-0.005	-0.001	-0.006	-0.005	-0.011	-0.02	-0.004	-0.002	-0.004	0.035	-0.007	-0.003	-0.002	-0.002	-0.005	0	-0.004	-0.003	-0.003	-0.004	0.032	-0.002	-0.001	-0.004	-0.005	-0.012	-0.005	-0.003	-0.002	-0.004	-0.001	-0.001	0	-0.002	-0.011	-0.003	-0.002	-0.005	-0.001	0.007	-0.001	-0.001	-0.004	-0.002	-0.001	-0.002	-0.009	-0.002	0.001	0.013	-0.004	-0.001	-0.003	-0.003	-0.004	-0.004	-0.006	-0.002	-0.002	-0.005	-0.008	0.099	0	-0.006	-0.009	-0.002	-0.004	-0.001	-0.004	0.073	-0.002	-0.005	-0.003	-0.009	0.001	-0.003	0.105	-0.002	-0.003	-0.004	-0.009	-0.005	0.01	0.01	0	-0.004	-0.002	0.009	-0.003	-0.002	-0.003	-0.005	-0.004	-0.001	-0.001	0	-0.001	-0.003	-0.002	-0.002
earthquake	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
march	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
balearic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
device	-0.032	-0.005	0.028	-0.002	-0.008	-0.013	-0.006	-0.007	-0.013	-0.007	-0.005	-0.005	0.001	-0.003	-0.006	-0.002	-0.002	-0.004	-0.003	0.023	-0.01	-0.002	-0.012	-0.006	-0.021	-0.028	-0.007	-0.003	-0.004	0.046	-0.009	0.001	-0.003	-0.003	-0.004	-0.001	-0.007	-0.001	0.025	-0.005	-0.004	-0.004	-0.002	-0.007	-0.005	-0.012	-0.009	-0.005	-0.004	-0.008	-0.002	-0.002	-0.001	0.034	0.02	0.008	0.03	0.089	-0.002	0.036	-0.005	-0.001	-0.007	-0.004	0.025	-0.001	-0.016	-0.001	-0.001	0.002	-0.007	-0.002	0	-0.005	-0.003	-0.013	-0.01	-0.003	-0.003	-0.008	-0.015	-0.013	-0.007	-0.006	-0.017	0.005	0.001	-0.002	-0.006	-0.007	-0.003	-0.008	-0.006	-0.004	-0.008	-0.005	-0.002	-0.003	-0.003	-0.008	-0.016	-0.006	-0.007	-0.005	0.007	0.026	-0.003	0.343	-0.003	0.072	-0.004	-0.009	-0.001	-0.002	-0.002	-0.001	-0.002	-0.005	-0.003	-0.003
europol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
laundering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
consultation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bottling	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
established	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mexico	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oecd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arboriculture	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
corsica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
venezuela	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
namibia	0.019	-0.003	-0.004	-0.003	-0.005	-0.007	-0.004	-0.007	-0.009	-0.006	-0.006	-0.003	-0.009	0.007	-0.004	-0.002	-0.003	-0.003	-0.002	-0.007	-0.006	-0.001	-0.003	-0.006	-0.012	0.008	-0.005	-0.002	-0.005	-0.016	-0.009	-0.004	-0.002	-0.002	0.004	0	-0.005	-0.004	-0.003	-0.005	-0.003	-0.002	-0.002	0.008	0.018	-0.013	-0.005	-0.003	-0.003	-0.005	-0.002	-0.001	0	-0.008	-0.005	-0.002	-0.002	-0.006	-0.001	-0.003	-0.003	-0.001	-0.005	-0.003	-0.001	-0.002	0.08	-0.003	-0.004	-0.006	-0.005	-0.002	-0.001	-0.003	-0.004	-0.009	-0.007	-0.002	-0.002	-0.004	-0.01	0.007	-0.005	-0.002	-0.011	-0.003	-0.005	-0.001	0.231	-0.005	-0.002	-0.006	-0.004	-0.01	-0.004	-0.004	-0.004	-0.002	-0.004	-0.005	-0.011	-0.008	-0.009	-0.003	-0.003	-0.005	-0.002	-0.004	-0.004	-0.002	-0.004	-0.006	-0.005	-0.001	-0.001	0	-0.001	-0.003	-0.002	-0.002
minister	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
america	-0.023	-0.004	0.003	0.018	-0.004	0.171	-0.005	-0.008	-0.008	-0.006	-0.005	0.005	-0.012	-0.003	-0.004	0.002	-0.004	-0.003	-0.002	-0.005	-0.007	-0.001	-0.007	-0.001	-0.014	-0.006	-0.006	-0.002	-0.005	-0.012	0.008	-0.005	-0.002	-0.002	-0.007	0	-0.005	-0.005	-0.003	0.038	-0.003	0.021	-0.002	-0.005	-0.005	-0.005	-0.002	0.145	-0.003	0.014	0.016	-0.002	0	-0.005	-0.008	0.001	-0.003	-0.007	-0.001	0.007	-0.004	-0.001	-0.002	-0.003	-0.002	-0.003	-0.012	0.01	-0.003	-0.007	-0.005	-0.002	0.002	-0.004	0.009	-0.009	-0.007	-0.002	-0.002	-0.005	0.006	0.064	-0.006	-0.007	-0.007	0.015	-0.006	-0.002	0.017	-0.005	-0.002	-0.002	0.02	-0.011	0.004	-0.004	0.007	-0.002	-0.004	0.01	-0.012	-0.009	-0.004	-0.004	0.007	-0.006	0.009	-0.008	0.024	-0.003	-0.004	-0.005	-0.002	-0.001	-0.001	0	-0.001	-0.004	-0.002	-0.002
electronic	-0.032	-0.006	0.002	-0.006	-0.008	-0.013	-0.007	0.006	-0.013	-0.007	0.022	0.008	0.001	-0.001	-0.007	-0.003	0.004	-0.002	-0.003	0.058	0.002	-0.002	-0.003	0.012	-0.021	-0.035	0.004	-0.003	0.013	0.056	-0.01	-0.006	-0.004	0.004	0.022	-0.001	0	-0.002	0.004	-0.008	-0.001	-0.001	0.001	-0.001	-0.01	-0.031	0.01	-0.002	-0.005	-0.006	-0.003	-0.002	-0.001	0.045	0.008	-0.002	-0.004	0.02	-0.002	0.07	-0.005	-0.001	0.011	-0.004	-0.002	0	-0.014	0.03	-0.004	0.012	-0.006	0.005	-0.007	-0.005	0.023	0.001	-0.008	0.002	-0.004	0.007	-0.009	-0.015	-0.003	-0.011	-0.014	0.008	0.095	-0.002	-0.007	-0.006	-0.003	-0.006	0.014	-0.004	0.012	-0.005	0.003	0	0.007	-0.009	-0.017	-0.002	0	-0.005	-0.005	-0.009	0.006	0.159	0.028	0.029	-0.006	-0.01	0.039	0.052	0.049	-0.001	-0.002	-0.003	-0.003	0.029
mail	-0.017	-0.003	-0.003	-0.003	-0.004	-0.008	-0.004	0.008	-0.006	-0.005	0.041	0.012	-0.002	-0.002	-0.003	-0.001	-0.003	0.004	-0.002	0.041	-0.001	-0.001	-0.007	0.025	-0.01	-0.019	-0.003	-0.002	0	0.02	-0.004	-0.004	-0.002	-0.002	0.002	0	0.003	-0.004	0.001	-0.004	0.005	0.004	0.006	0.01	-0.005	-0.017	0.018	0.004	-0.002	-0.005	-0.001	-0.001	0	0	-0.011	0.001	-0.002	-0.003	-0.001	0.037	-0.003	-0.001	0.008	-0.002	-0.001	0.005	-0.003	-0.002	-0.003	0.006	-0.002	-0.001	-0.003	-0.003	0.008	0.005	0	-0.002	-0.002	0.011	0.003	-0.012	0.002	-0.006	-0.002	0.002	0.158	-0.001	-0.004	0	-0.002	0	0.036	-0.009	-0.004	-0.001	0.003	0.005	0	-0.005	-0.008	-0.007	0.002	-0.003	-0.003	-0.004	-0.002	0.009	0.045	-0.002	-0.003	-0.005	0.051	-0.001	-0.001	0	-0.001	-0.003	-0.002	-0.002
drafting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ecosoc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
audit	-0.024	-0.004	-0.005	-0.004	-0.006	-0.01	-0.005	0.003	-0.002	-0.006	0.005	-0.004	-0.012	-0.003	-0.005	-0.002	-0.004	-0.003	-0.002	0.045	-0.002	-0.001	-0.008	0.043	-0.015	-0.007	-0.001	-0.002	0.049	0.001	-0.009	-0.005	0.022	-0.002	-0.007	0	-0.003	0.004	-0.004	-0.005	-0.003	0.005	-0.002	-0.005	-0.001	-0.009	0.114	0.002	0.001	-0.004	-0.002	-0.002	0	-0.009	-0.015	-0.004	-0.003	-0.005	-0.001	0.041	-0.004	-0.001	0.003	0.028	-0.002	0.005	-0.012	-0.003	-0.004	0.005	-0.001	-0.002	-0.005	-0.004	0.062	-0.009	-0.008	0	-0.002	-0.008	0.09	-0.016	0	0	-0.01	0.009	0.013	-0.002	-0.001	-0.005	-0.002	-0.007	0.007	-0.002	-0.003	0.007	0.008	-0.003	-0.003	-0.005	-0.009	-0.009	-0.004	-0.004	-0.003	-0.006	0.001	0.003	-0.002	-0.003	-0.004	-0.007	0.053	-0.001	-0.001	0	-0.001	0.038	-0.002	0.014
plumbing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
takeover	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
symbol	-0.018	-0.003	-0.003	-0.003	0.009	-0.008	-0.004	-0.006	-0.006	0.061	-0.002	-0.003	-0.009	0.068	-0.003	-0.001	-0.003	-0.003	-0.002	0.005	-0.006	-0.001	-0.007	0.007	-0.012	-0.004	-0.004	-0.002	-0.004	0.024	-0.008	-0.004	-0.002	-0.002	-0.005	0	0.023	0.013	-0.003	-0.004	-0.003	0.025	-0.001	-0.004	-0.005	-0.015	0.005	-0.003	-0.002	-0.005	-0.001	0.008	0	0.006	-0.011	-0.003	-0.002	0.028	-0.001	0.011	0.004	0.041	0.004	-0.002	-0.001	-0.002	-0.009	-0.002	-0.003	0.048	-0.004	-0.001	-0.003	-0.003	-0.004	0.027	-0.006	-0.002	-0.002	-0.006	-0.004	0.018	-0.005	-0.006	-0.009	-0.003	0.021	-0.001	-0.004	-0.004	-0.002	-0.005	-0.003	-0.009	-0.004	0.024	0.006	0.071	-0.001	-0.001	-0.007	-0.007	0	-0.003	-0.003	-0.004	-0.002	-0.006	0.021	0.009	-0.003	-0.005	0.053	-0.001	-0.001	0.037	-0.001	-0.003	-0.002	-0.002
housing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
directive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gold	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
earner	-0.017	0.035	0.042	-0.003	-0.004	-0.007	-0.003	-0.005	-0.005	-0.004	-0.005	0.122	-0.008	0.02	-0.003	-0.001	-0.003	-0.002	-0.002	0.005	-0.005	-0.001	-0.006	-0.004	-0.011	0.006	0.002	-0.002	-0.004	0.012	-0.001	-0.003	0.007	-0.001	-0.004	0	0.001	-0.003	-0.002	-0.004	-0.002	-0.002	-0.001	-0.004	0.003	0.006	-0.005	-0.002	-0.002	-0.002	-0.001	0.016	0	-0.006	-0.01	0.124	-0.002	-0.005	-0.001	-0.002	-0.003	-0.001	0.001	0.009	-0.001	-0.002	-0.008	0.004	0.017	0.028	-0.004	-0.001	-0.003	-0.003	0.014	-0.003	-0.005	-0.002	-0.002	0.073	-0.006	-0.011	-0.004	0	-0.009	0.136	-0.003	-0.001	-0.003	-0.002	-0.001	-0.002	-0.003	0.001	0.009	-0.001	-0.003	0.04	0.003	-0.004	-0.008	-0.006	0.015	-0.003	-0.002	-0.004	-0.001	0	-0.003	-0.002	-0.003	-0.004	-0.001	-0.001	-0.001	0	-0.001	-0.003	-0.001	-0.002
immigration	-0.019	-0.003	0.02	-0.003	-0.005	-0.008	-0.004	-0.006	-0.006	-0.005	0.006	0.053	-0.01	-0.003	-0.004	-0.001	0.002	-0.003	-0.002	0.007	-0.006	-0.001	-0.007	-0.004	-0.013	-0.002	-0.003	-0.002	0	0.006	0.023	-0.004	0.005	-0.002	-0.006	0	0.008	-0.004	0.001	-0.004	-0.003	-0.002	-0.001	-0.004	-0.006	-0.019	-0.001	-0.003	-0.003	-0.004	-0.001	-0.001	0	0.003	-0.012	-0.003	-0.002	-0.005	-0.001	-0.007	-0.002	-0.001	0.015	0.011	-0.001	-0.002	-0.01	-0.002	-0.003	0.01	-0.004	-0.002	-0.004	-0.003	-0.004	-0.008	-0.006	0.011	0.05	-0.006	-0.009	-0.013	-0.003	-0.007	-0.007	0.01	-0.003	-0.001	-0.004	-0.004	-0.002	0.027	-0.004	-0.006	0.359	-0.003	-0.004	-0.002	0.008	-0.002	-0.01	-0.007	0	-0.003	-0.003	-0.005	-0.002	-0.006	0.053	-0.002	-0.004	-0.005	-0.005	-0.001	-0.001	0	-0.001	-0.003	-0.002	-0.002
asylum	-0.021	-0.003	0.018	-0.003	-0.005	-0.008	-0.004	-0.007	-0.007	-0.006	0.004	0.062	-0.01	-0.003	0.003	-0.002	0.004	-0.003	-0.002	0.005	-0.006	-0.001	-0.008	-0.001	-0.014	-0.004	-0.003	-0.002	-0.002	0.003	0.027	-0.004	0.005	-0.002	-0.006	0	0.006	-0.004	0.001	-0.005	-0.003	-0.002	-0.002	-0.005	-0.006	-0.021	0.003	-0.003	0.014	0.003	-0.002	-0.001	0	0.002	-0.013	-0.004	-0.002	-0.006	-0.001	-0.009	-0.001	-0.001	0.013	-0.003	-0.001	-0.002	-0.011	-0.003	-0.004	0.02	-0.005	-0.002	-0.004	-0.003	-0.004	-0.009	-0.007	0.01	0.022	-0.006	-0.01	-0.014	-0.003	-0.007	-0.008	0.009	-0.004	-0.001	-0.004	-0.005	-0.002	0.023	-0.004	-0.007	0.375	-0.004	-0.004	-0.002	0.007	-0.002	-0.011	-0.008	0.011	-0.003	-0.003	-0.005	-0.002	-0.007	0.028	-0.002	-0.004	-0.006	-0.003	-0.001	-0.001	0	-0.001	-0.003	-0.002	-0.002
